Week,分類,Oper_No,次數
2025-W14,2D消除,3910,25
2025-W14,2D消除,4805,1
2025-W14,EAP重開,4800,8
2025-W14,EAP重開,3910,2
2025-W14,EAP重開,2190,1
2025-W14,其他事項,2195,6
2025-W14,過帳異常,3910,30
2025-W14,過帳異常,2195,10
2025-W14,過帳異常,2845,9
2025-W14,關閉比對,4730,95
2025-W14,關閉比對,4805,17
2025-W14,關閉比對,4515,9
