Week,分類,Oper_No,次數
2025-W30,2D消除,3910,16
2025-W30,EAP重開,3910,2
2025-W30,EAP重開,2900,1
2025-W30,其他事項,2195,2
2025-W30,更新/搬遷,2890,2
2025-W30,更新/搬遷,4730,1
2025-W30,未分類,2900,1
2025-W30,過帳異常,3910,18
2025-W30,過帳異常,2945,5
2025-W30,過帳異常,3400,3
2025-W30,關閉比對,4730,93
2025-W30,關閉比對,4515,13
2025-W30,關閉比對,4805,5
