Week,分類,站點,次數
2026-W17,2D消除,3910,K11(3)/K25(1)
2026-W17,其他事項,2195,K21(1)
2026-W17,過帳異常,2900,K25(7)
2026-W17,過帳異常,3910,K11(4)/K25(3)
2026-W17,過帳異常,2890,K25(1)
2026-W17,關閉比對,4730,K11(83)/K25(14)
2026-W17,關閉比對,4515,K11(10)
2026-W17,關閉比對,2945,K21(2)/K22(1)
