Week,分類,Oper_No,次數
2025-W11,2D消除,3910,16
2025-W11,EAP重開,2890,3
2025-W11,EAP重開,3190,3
2025-W11,EAP重開,3910,3
2025-W11,其他事項,2195,3
2025-W11,過帳異常,3910,26
2025-W11,過帳異常,2845,9
2025-W11,過帳異常,2195,4
2025-W11,關閉比對,4730,120
2025-W11,關閉比對,4805,27
2025-W11,關閉比對,4515,10
