Week,分類,Oper_No,次數
2025-W07,2D消除,3910,24
2025-W07,EAP重開,4800,9
2025-W07,EAP重開,2845,4
2025-W07,EAP重開,2900,2
2025-W07,其他事項,2195,6
2025-W07,過帳異常,3910,30
2025-W07,過帳異常,2845,21
2025-W07,過帳異常,2890,5
2025-W07,關閉比對,4730,66
2025-W07,關閉比對,4805,14
2025-W07,關閉比對,4515,10
