Week,分類,Oper_No,次數
2025-W13,2D消除,3910,19
2025-W13,2D消除,4805,1
2025-W13,EAP重開,4800,7
2025-W13,EAP重開,2845,1
2025-W13,EAP重開,3910,1
2025-W13,其他事項,2195,5
2025-W13,過帳異常,3910,16
2025-W13,過帳異常,2845,5
2025-W13,過帳異常,2195,4
2025-W13,關閉比對,4730,98
2025-W13,關閉比對,4805,22
2025-W13,關閉比對,4515,11
