Week,分類,Oper_No,次數
2025-W08,2D消除,3910,23
2025-W08,2D消除,2740,1
2025-W08,2D消除,3101,1
2025-W08,EAP重開,4800,11
2025-W08,EAP重開,2845,1
2025-W08,EAP重開,3600,1
2025-W08,其他事項,2195,2
2025-W08,過帳異常,3910,19
2025-W08,過帳異常,2195,4
2025-W08,過帳異常,2845,4
2025-W08,關閉比對,4730,44
2025-W08,關閉比對,4805,21
2025-W08,關閉比對,4515,14
