Week,分類,站點,次數
2026-W14,2D消除,3910,K11(6)/K25(8)
2026-W14,EAP重開,2900,K11(2)
2026-W14,EAP重開,3910,K11(2)
2026-W14,EAP重開,5070,K11(1)
2026-W14,其他事項,2195,K21(6)
2026-W14,過帳異常,3910,K11(3)/K21(6)/K25(3)
2026-W14,過帳異常,2845,K21(1)
2026-W14,過帳異常,3800,K11(1)
2026-W14,關閉比對,4730,K11(94)
2026-W14,關閉比對,4515,K11(8)
2026-W14,關閉比對,2945,K21(3)
