Week,分類,Oper_No,次數
2025-W34,2D消除,3910,15
2025-W34,EAP重開,3910,1
2025-W34,其他事項,2195,3
2025-W34,更新/搬遷,2900,11
2025-W34,更新/搬遷,3400,1
2025-W34,未分類,2900,3
2025-W34,過帳異常,2400,94
2025-W34,過帳異常,2900,25
2025-W34,過帳異常,2195,18
2025-W34,關閉比對,4730,68
2025-W34,關閉比對,4515,12
2025-W34,關閉比對,4800,11
