Week,分類,Oper_No,次數
2025-W36,2D消除,3910,K11(12)/K21(1)/K25(3)
2025-W36,EAP重開,3910,K11(4)/K25(1)
2025-W36,EAP重開,3190,K25(2)
2025-W36,EAP重開,2880,K22(1)
2025-W36,其他事項,2195,K21(2)
2025-W36,更新/搬遷,2900,K11(87)
2025-W36,更新/搬遷,5100,K25(4)
2025-W36,更新/搬遷,2880,K22(1)
2025-W36,過帳異常,2400,K25(51)
2025-W36,過帳異常,2900,K22(1)/K25(21)
2025-W36,過帳異常,3910,K11(6)/K21(4)/K22(1)/K25(4)
2025-W36,關閉比對,4730,K11(85)
2025-W36,關閉比對,4515,K11(11)
2025-W36,關閉比對,4800,K11(11)
