Week,分類,站點,次數
2025-W40,2D消除,3190,K25(19)
2025-W40,2D消除,3910,K11(4)/K25(7)
2025-W40,EAP重開,2395,K25(36)
2025-W40,EAP重開,2400,K22(1)/K25(20)
2025-W40,EAP重開,3910,K11(2)/K25(1)
2025-W40,其他事項,2195,K21(5)
2025-W40,過帳異常,2400,K22(1)/K25(251)
2025-W40,過帳異常,2395,K25(132)
2025-W40,過帳異常,2900,K22(2)/K25(24)
2025-W40,關閉比對,4730,K11(72)
2025-W40,關閉比對,4515,K11(8)
2025-W40,關閉比對,2945,K22(4)
