廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K25,8F,3670,ALL,自動化設備相關,,偵測檢知異常,2026/4/19 下午 11:19:14
ASEF3,K11,8F,3910,808,過帳相關,"2D FAIL未打印，請刪紀錄
6-055JPD-035-005",無法過帳,2026/4/19 下午 10:20:02
ASEF3,K25,8F,2890,804,自動化設備相關,,卡盒卡盤,2026/4/19 下午 08:24:56
ASEF1,K21,8F,2945,0380,關閉比對,2945-0380 為虛擬機台過帳使用，還請協助關閉比對，謝謝。,關整台,2026/4/19 下午 07:36:35
ASEF3,K11,8F,3450,ALL,自動化設備相關,,卡盒卡盤,2026/4/19 下午 06:36:38
ASEF3,K25,8F,2900,808H,過帳相關,TrackOut 失敗(Fail):批號:162KCRB001 WAFERID蒐集站點請輸入WAFERID.(MUST KEY IN WAFERID),無法過帳,2026/4/19 下午 06:23:56
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/4/19 下午 06:16:49
ASEF3,K11,8F,3260,ALL,自動化設備相關,,機台異常,2026/4/19 下午 04:12:14
ASEF3,K25,9F,3910,9008,過帳相關,"請協助刪除作業記錄
6-16UYZX-001-007",連線異常,2026/4/19 下午 03:10:15
ASEF3,K25,9F,3910,9002,過帳相關,"請協助刪除作業記錄
6-15UYP0-042-008",連線異常,2026/4/19 下午 02:32:41
ASEF3,K25,8F,2900,808H,過帳相關,TrackOut 失敗(Fail):批號:162KWUB011 WAFERID蒐集站點請輸入WAFERID.(MUST KEY IN WAFERID),無法過帳,2026/4/19 下午 01:12:22
ASEF1,K21,8F,2500,ALL,自動化設備相關,2500 NG,機台異常,2026/4/19 下午 12:47:28
ASEF3,K25,8F,2900,808H,過帳相關,TrackOut 失敗(Fail):批號:162KY6B001 WAFERID蒐集站點請輸入WAFERID.(MUST KEY IN WAFERID),無法過帳,2026/4/19 上午 09:30:29
ASEF1,K21,5F,2845,T01,過帳相關,,連線異常,2026/4/19 上午 08:27:37
ASEF3,K11,7F,4730,822,關閉比對,4730#822   264L   S-Q AI PROFILE 爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/4/19 上午 08:24:03
