廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/6/21 下午 10:47:05
ASEF3,K25,8F,4110,ALL,自動化設備相關,,偵測檢知異常,2026/6/21 下午 10:24:42
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/6/21 下午 10:06:03
ASEF3,K11,8F,4730,811,關閉比對,4730#811  339L   S  AI PROFILE  最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 下午 08:20:51
ASEF3,K25,9F,4730,9008,關閉比對,,關整台,2026/6/21 下午 07:54:31
ASEF3,K25,9F,4730,9005,關閉比對,,關整台,2026/6/21 下午 07:54:04
ASEF3,K25,9F,4730,9003,關閉比對,,關整台,2026/6/21 下午 07:53:19
ASEF3,K25,9F,4730,9002,關閉比對,,關整台,2026/6/21 下午 07:52:50
ASEF3,K25,9F,4730,9001,關閉比對,,關整台,2026/6/21 下午 07:52:05
ASEF3,K11,6F,4730,603,關閉比對,4730#603   207L    AI PROFILE CU  溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 下午 07:49:58
ASEF1,K22,8F,2945,0380,關閉比對,2945-0380 為虛擬機台過帳使用，還請協助關閉比對，謝謝。,關整台,2026/6/21 下午 07:49:54
ASEF3,K11,9F,4515,651,關閉比對,"4515#651     需過帳4554站點，請協助關閉防漏洗功能
",關整台,2026/6/21 下午 07:48:52
ASEF3,K11,8F,4730,809,關閉比對,4730#809  938L  S  AI PROFILE 最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 下午 07:48:35
ASEF3,K11,8F,4730,812,關閉比對,4730#812  1405L  CU AI PROFILE  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 下午 07:48:05
ASEF3,K11,7F,4730,818,關閉比對,4730#818   390L   MTK  AI PROFILE  未建立 ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 下午 07:47:44
ASEF3,K11,7F,4730,822,關閉比對,4730#822   234L  AI PROFILE S.Q  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 下午 07:47:26
ASEF3,K11,7F,4730,821,關閉比對,4730#821   346L   AI PROFILE 爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 下午 07:47:08
ASEF3,K11,7F,4730,803,關閉比對,4730#803   264L  AI PROFILE  爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 下午 07:46:49
ASEF3,K11,6F,4730,607,關閉比對,4730#607  200L   AI PROFILE  S 最高溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 下午 07:46:24
ASEF3,K25,9F,3910,9008,過帳相關,"請協助消除 3910-9008
6-24UYVZ-011-002
的作業紀錄，謝謝",連線異常,2026/6/21 下午 07:46:23
ASEF3,K11,6F,4730,607,關閉比對,4730#603   207L    AI PROFILE CU  溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 下午 07:46:08
ASEF3,K11,8F,3910,810,自動化設備相關,,偵測檢知異常,2026/6/21 下午 07:42:21
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/21 下午 07:34:38
ASEF3,K25,9F,4600,9008,自動化設備相關,NG,機台異常,2026/6/21 下午 06:35:09
ASEF3,K25,8F,3190,802,自動化設備相關,3190 儲格 C 天車塞車。,命令異常,2026/6/21 下午 04:02:28
ASEF3,K25,8F,3190,802,自動化設備相關,3190 儲格 D 夾貨夾歪。,過壓防撞,2026/6/21 下午 02:13:26
ASEF3,K25,8F,3190,802,自動化設備相關,3190-802 LOADER 手臂夾貨夾歪。,過壓防撞,2026/6/21 下午 01:04:42
ASEF3,K25,9F,3910,9005,過帳相關,"MOVE IN FAIL ,RESET 3910-9005 EAP , THANKS.",無法過帳,2026/6/21 下午 12:39:50
ASEF1,K21,5F,2845,T05,過帳相關,NG,連線異常,2026/6/21 下午 12:33:03
ASEF3,K11,8F,3450,ALL,自動化設備相關,NG,機台異常,2026/6/21 上午 10:59:39
ASEF3,K25,8F,3190,804,自動化設備相關,3190-804 UNLOADER 手臂夾貨異常。,過壓防撞,2026/6/21 上午 09:43:57
ASEF3,K11,9F,4515,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/6/21 上午 07:59:23
ASEF3,K11,8F,4730,809,關閉比對,4730#809  938L  S  AI PROFILE 最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 上午 07:59:05
ASEF3,K11,8F,4730,811,關閉比對,4730#811  339L   S  AI PROFILE  最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 上午 07:58:49
ASEF3,K11,8F,4730,812,關閉比對,4730#812  1405L  CU AI PROFILE  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 上午 07:58:34
ASEF3,K11,7F,4730,818,關閉比對,4730#818   390L   MTK  AI PROFILE  未建立 ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 上午 07:58:18
ASEF3,K11,7F,4730,805,關閉比對,4730#805   441L   MTK  AI PROFILE  未建立 ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 上午 07:57:48
ASEF3,K11,7F,4730,820,關閉比對,4730#820   162L   MTK  AI PROFILE  未建立 ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 上午 07:57:31
ASEF3,K11,7F,4730,822,關閉比對,4730#822   234L  AI PROFILE S.Q  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 上午 07:57:15
ASEF3,K11,7F,4730,821,關閉比對,4730#821   346L   AI PROFILE 爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 上午 07:56:58
ASEF3,K11,7F,4730,803,關閉比對,4730#803   264L  AI PROFILE  爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 上午 07:56:24
ASEF3,K25,9F,4600,9008,自動化設備相關,NG,機台異常,2026/6/21 上午 07:56:10
ASEF3,K11,6F,4730,607,關閉比對,4730#607  200L   AI PROFILE  S 最高溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 上午 07:55:56
ASEF3,K11,6F,4730,603,關閉比對,4730#603   207L    AI PROFILE CU  溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/21 上午 07:55:38
ASEF3,K25,8F,3800,ALL,自動化設備相關,NG,機台異常,2026/6/21 上午 07:54:24
ASEF3,K25,8F,4110,ALL,自動化設備相關,NG,機台異常,2026/6/21 上午 07:53:16
ASEF3,K25,8F,2890,804,自動化設備相關,,卡盒卡盤,2026/6/21 上午 05:57:12
ASEF3,K25,9F,4730,9003,關閉比對,,關整台,2026/6/21 上午 05:23:52
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/6/21 上午 04:47:40
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/6/21 上午 04:38:56
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/21 上午 01:04:32
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2026/6/21 上午 12:25:20
ASEF3,K11,7F,4730,820,關閉比對,"4730#820  162L    MTK  AI PROFILE  未建立 ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
",關整台,2026/6/20 下午 08:09:12
ASEF3,K11,8F,4730,811,關閉比對,4730#811  480L   S-Q  AI PROFILE  最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 下午 07:54:40
ASEF3,K11,9F,4515,651,關閉比對,"4515#651     需過帳4554站點，請協助關閉防漏洗功能
",關整台,2026/6/20 下午 07:53:42
ASEF3,K11,8F,4730,809,關閉比對,4730#809  938L  S  AI PROFILE 最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 下午 07:53:25
ASEF3,K11,8F,4730,812,關閉比對,4730#811  480L   S-Q  AI PROFILE  最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 下午 07:52:57
ASEF3,K11,8F,4730,812,關閉比對,4730#812  1405L  CU AI PROFILE  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 下午 07:52:35
ASEF3,K11,7F,4730,818,關閉比對,4730-818 167L  AI PROFILE CU 溫度異常 ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 下午 07:51:21
ASEF3,K11,7F,4730,805,關閉比對,4730#805  441L    MTK  AI PROFILE  未建立 ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 下午 07:50:58
ASEF3,K11,7F,4730,822,關閉比對,4730#822   615L  AI PROFILE S.Q  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 下午 07:50:37
ASEF3,K11,7F,4730,821,關閉比對,4730#821   346L   AI PROFILE 爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 下午 07:50:15
ASEF3,K11,7F,4730,803,關閉比對,4730#803   264L  AI PROFILE  爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 下午 07:49:52
ASEF3,K11,6F,4730,607,關閉比對,4730#607  200L   AI PROFILE  S 最高溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 下午 07:49:14
ASEF3,K25,9F,4730,9008,關閉比對,,關整台,2026/6/20 下午 07:43:27
ASEF3,K25,9F,4730,9007,關閉比對,,關整台,2026/6/20 下午 07:42:45
ASEF3,K25,9F,4730,9005,關閉比對,,關整台,2026/6/20 下午 07:42:06
ASEF3,K25,9F,4730,9002,關閉比對,,關整台,2026/6/20 下午 07:41:33
ASEF3,K25,9F,4730,9001,關閉比對,,關整台,2026/6/20 下午 07:40:58
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/20 下午 07:38:29
ASEF3,K25,9F,3910,9005,過帳相關,2D TIME OUT 請消除 6-242KQF-001-006 作業紀錄，謝謝。,連線異常,2026/6/20 下午 05:27:36
ASEF3,K25,8F,3190,802,自動化設備相關,3190 儲格 D 夾貨夾歪。,過壓防撞,2026/6/20 下午 01:50:52
ASEF3,K25,8F,3190,801,自動化設備相關,3190-801 LOADER 手臂連線異常。,命令異常,2026/6/20 下午 01:50:06
ASEF3,K11,8F,3670,ALL,自動化設備相關,NG,機台異常,2026/6/20 下午 01:36:24
ASEF3,K25,8F,4110,ALL,自動化設備相關,NG,機台異常,2026/6/20 下午 01:06:24
ASEF3,K11,8F,3910,823,過帳相關,參數比對失敗，請協助重啟該機台的EAP軟體，謝謝,無法過帳,2026/6/20 下午 12:19:36
ASEF3,K11,8F,3910,823,過帳相關,"PLEASE DELETE 2D DATA
6-24UYNJ-043-001",連線異常,2026/6/20 下午 12:01:12
ASEF3,K25,9F,4600,9008,自動化設備相關,NG,機台異常,2026/6/20 上午 11:25:32
ASEF3,K25,8F,3260,ALL,自動化設備相關,NG,機台異常,2026/6/20 上午 11:23:47
ASEF3,K25,8F,4110,ALL,自動化設備相關,NG,機台異常,2026/6/20 上午 11:23:19
ASEF3,K25,8F,4110,ALL,自動化設備相關,NG,機台異常,2026/6/20 上午 11:03:29
ASEF3,K25,9F,3910,9006,過帳相關,"MOVE IN FAIL,RESET 3910-9006 EAP,THANKS.",無法過帳,2026/6/20 上午 10:18:23
ASEF3,K11,7F,4730,818,關閉比對,4600-818 167L  AI PROFILE CU 溫度異常 ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 上午 09:19:12
ASEF3,K11,6F,4730,607,關閉比對,4730#607  200L   AI PROFILE  S 最高溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 上午 09:18:45
ASEF3,K11,7F,4730,805,關閉比對,4730#805  441L    MTK  AI PROFILE  未建立 ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/20 上午 08:25:18
ASEF3,K25,8F,4110,ALL,自動化設備相關,NG,機台異常,2026/6/20 上午 08:17:48
ASEF1,K21,5F,2845,T05,過帳相關,NG,連線異常,2026/6/20 上午 08:08:15
