廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K25,8F,2880,802,自動化設備相關,手臂卡住,卡盒卡盤,2026/1/11 下午 11:59:48
ASEF3,K25,8F,2890,801,自動化設備相關,,偵測檢知異常,2026/1/11 下午 10:28:20
ASEF3,K11,6F,4730,607,關閉比對,4730#607 200 AI PROFILE連線異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE	,關整台,2026/1/11 下午 09:24:06
ASEF3,K11,6F,4730,604,關閉比對,"4730#604 522 AI PROFILE迴焊時間異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE	
",關整台,2026/1/11 下午 08:26:13
ASEF3,K11,9F,4730,817,關閉比對,4730#817 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 08:23:57
ASEF3,K11,9F,4730,816,關閉比對,4730#816 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 08:23:37
ASEF3,K11,9F,4730,815,關閉比對,4730#815 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 08:22:53
ASEF3,K11,8F,4730,814,關閉比對,4730#814 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 08:22:24
ASEF3,K11,8F,4730,810,關閉比對,4730#810 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 08:22:03
ASEF3,K11,8F,4730,811,關閉比對,4730#810 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 08:21:37
ASEF3,K11,8F,4730,811,關閉比對,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE	,關整台,2026/1/11 下午 08:21:17
ASEF3,K11,8F,4730,808,關閉比對,.4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE	,關整台,2026/1/11 下午 08:15:53
ASEF3,K11,8F,4730,808,關閉比對,4730#808 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE	,關整台,2026/1/11 下午 08:15:33
ASEF3,K11,8F,4730,809,關閉比對,4730#809 683L，PEOFILE連線異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 08:07:05
ASEF3,K11,6F,4730,602,關閉比對,4730#602 287L，PEOFILE連線異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 08:06:44
ASEF3,K25,9F,4730,9008,關閉比對,,關整台,2026/1/11 下午 08:03:18
ASEF3,K25,9F,4730,9005,關閉比對,,關整台,2026/1/11 下午 08:02:35
ASEF3,K25,9F,4730,9004,關閉比對,,關整台,2026/1/11 下午 08:02:00
ASEF3,K25,9F,4730,9001,關閉比對,,關整台,2026/1/11 下午 08:01:22
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/1/11 下午 07:54:23
ASEF3,K11,9F,4515,651,關閉比對,4515#651  需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/1/11 下午 07:52:22
ASEF3,K11,8F,4730,812,關閉比對,4730#812   1405L  AI PROFILE  (CU) 爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 07:51:35
ASEF3,K11,7F,4730,821,關閉比對,.4730#821   346L   特殊爐溫 AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 07:51:19
ASEF3,K11,7F,4730,803,關閉比對,4730#803   264L AI PROFILE S-Q-X4L  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 07:51:00
ASEF3,K11,7F,4730,822,關閉比對,4730#822   615L AI PROFILE S-Q-X4L  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 07:50:38
ASEF3,K11,6F,4730,652,關閉比對,4730#652   852L AI PROFILE MTK 未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 07:50:18
ASEF3,K11,6F,4730,605,關閉比對,4730#605   200L  AI PROFILES-Q 爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 07:49:53
ASEF3,K11,6F,4730,603,關閉比對,4730#603   180L  美光爐溫，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/11 下午 07:49:33
ASEF1,K21,9F,4820,B02,關閉比對,貨批只需過帳無須作業，故需求關閉比對,關整台,2026/1/11 下午 06:16:30
ASEF3,K25,8F,2900,816F,過帳相關,02UY0AB041 NG盒,無法過帳,2026/1/11 下午 05:49:14
ASEF1,K21,8F,2500,ALL,自動化設備相關,2500 儲格 NG,機台異常,2026/1/11 下午 05:42:49
ASEF3,K25,8F,3260,ALL,自動化設備相關,,機台異常,2026/1/11 下午 04:30:11
ASEF3,K11,8F,4730,812,關閉比對,"4730-810.812 EAP 網路連線異常，請CIM 協助關閉比對改由"" 幹部 ""確認迴焊程式",關整台,2026/1/11 下午 04:02:20
ASEF3,K11,8F,4730,810,關閉比對,"4730-810.812 EAP 網路連線異常，請CIM 協助關閉比對改由"" 幹部 ""確認迴焊程式",關整台,2026/1/11 下午 04:01:59
