廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K25,8F,2845,804,自動化設備相關,,卡盒卡盤,2026/3/29 下午 11:26:07
ASEF3,K11,7F,2195,01,過帳相關,2195-01&2195-02機台連線異常off line,連線異常,2026/3/29 下午 10:09:19
ASEF3,K25,8F,2890,804,自動化設備相關,,卡盒卡盤,2026/3/29 下午 09:23:28
ASEF3,K11,8F,3450,ALL,自動化設備相關,,命令異常,2026/3/29 下午 08:50:07
ASEF3,K11,8F,3450,ALL,自動化設備相關,,機台異常,2026/3/29 下午 08:46:53
ASEF3,K25,8F,2845,804,自動化設備相關,,卡盒卡盤,2026/3/29 下午 08:30:38
ASEF3,K11,7F,4730,822,關閉比對,4730#822  484L  AI PROFILE S 洄焊時間異常  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 08:03:26
ASEF3,K11,9F,4730,801,關閉比對,4730#801  1400L  AI PROFILE  異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 07:55:06
ASEF3,K11,9F,4730,819,關閉比對,4730#819  64L(SD2D) S  AI PROFILE   異常 ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 07:54:48
ASEF3,K11,9F,4730,817,關閉比對,4730#817  852L AI PROFILE  MTK  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 07:54:18
ASEF3,K11,9F,4515,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/3/29 下午 07:54:01
ASEF3,K11,8F,4730,809,關閉比對,4730#809  154L  S AI PROFILE  異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 07:53:47
ASEF3,K11,8F,4730,814,關閉比對,4730#814  1204L AI PROFILE  MTK  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 07:53:32
ASEF3,K11,8F,4730,812,關閉比對,4730#812  1405L  CU AI PROFILE  異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 07:53:16
ASEF3,K11,7F,4730,820,關閉比對,4730#820  344L  MTK AI PROFILE  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 07:52:54
ASEF3,K11,7F,4730,818,關閉比對,4730#818   264L S  AI PROFILE  異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 07:52:38
ASEF3,K11,7F,4730,821,關閉比對,4730#821   342L   AI PROFILE 爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 07:52:20
ASEF3,K11,7F,4730,803,關閉比對,4730#803   289L  S-X4L  AI PROFILE  未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 07:51:49
ASEF3,K11,6F,4730,607,關閉比對,4730#607  200  AI PROFILE S-Q有建立，比對不到資料，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/29 下午 07:51:22
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/3/29 下午 07:43:23
ASEF3,K25,8F,3260,ALL,自動化設備相關,NG,機台異常,2026/3/29 下午 07:29:49
ASEF3,K25,8F,3260,ALL,自動化設備相關,NG,機台異常,2026/3/29 下午 07:03:47
ASEF3,K25,8F,3260,ALL,自動化設備相關,NG,機台異常,2026/3/29 下午 06:22:40
ASEF3,K25,8F,3800,09,自動化設備相關,NG,卡盒卡盤,2026/3/29 下午 04:50:58
ASEF3,K25,8F,4110,ALL,自動化設備相關,NG,機台異常,2026/3/29 下午 02:00:12
ASEF3,K11,8F,3450,ALL,自動化設備相關,NG,機台異常,2026/3/29 下午 01:16:07
ASEF3,K25,8F,3260,ALL,自動化設備相關,NG,機台異常,2026/3/29 上午 11:43:34
ASEF3,K25,8F,4110,ALL,自動化設備相關,NG,機台異常,2026/3/29 上午 11:43:16
ASEF3,K25,8F,4110,ALL,自動化設備相關,NG,機台異常,2026/3/29 上午 11:34:31
