廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K25,8F,2395,805,過帳相關,"ASEF3-2395-805 CA00234BK EIG 382KH9 2395 K14153 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[9]，MES_QTY：[18] 
2 ASEF3-2395-805 CA00234BK EIG 382KAQ 2395 K14153 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[9]，MES_QTY：[18] 
 
 
 . 

處理中,請稍候..",無法過帳,2025/9/21 下午 11:41:04
ASEF3,K25,8F,2400,03,過帳相關,"ASEF3-2400-803 CA02880BK EIG 382KBP 2400 K14183 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16] 
2 ASEF3-2400-803 CA02880BK EIG 382KBL 2400 K14183 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16]",無法過帳,2025/9/21 下午 11:35:39
ASEF3,K25,8F,2890,801,自動化設備相關,alarm,卡盒卡盤,2025/9/21 下午 11:26:26
ASEF3,K25,8F,3260,ALL,自動化設備相關,alarm,卡盒卡盤,2025/9/21 下午 11:22:58
ASEF3,K25,8F,2395,808,過帳相關,小黑盒壞了 無法連線,無法過帳,2025/9/21 下午 11:08:33
ASEF3,K25,8F,2395,803,過帳相關,"ASEF3-2395-803 CA03288BK EIG 382KK8 2395 K14153 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16] 
2 ASEF3-2395-803 CA03288BK EIG 382KF9 2395 K14153 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16]",無法過帳,2025/9/21 下午 11:01:21
ASEF3,K25,8F,4110,ALL,自動化設備相關,,卡盒卡盤,2025/9/21 下午 10:52:59
ASEF3,K25,8F,3260,ALL,自動化設備相關,,卡盒卡盤,2025/9/21 下午 10:52:35
ASEF3,K25,8F,2400,814,過帳相關,小黑盒  壞掉無法連線,無法過帳,2025/9/21 下午 10:15:37
ASEF3,K25,8F,2400,814,過帳相關,機台作業總片數與MES總片數比對成功，Machine_QTY：[12]，MES_QTY：[12],無法過帳,2025/9/21 下午 10:15:06
ASEF3,K25,8F,2400,815,過帳相關,小黑盒  壞掉無法連線,無法過帳,2025/9/21 下午 10:09:53
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2025/9/21 下午 10:09:37
ASEF3,K25,8F,2400,813,過帳相關,小黑盒  壞掉無法連線,無法過帳,2025/9/21 下午 09:54:52
ASEF3,K11,8F,4110,ALL,自動化設備相關,B line 移載台車Sensor斷線,機台異常,2025/9/21 下午 09:32:41
ASEF3,K25,8F,2890,803,自動化設備相關,ok,卡盒卡盤,2025/9/21 下午 09:30:07
ASEF3,K25,8F,2395,805,過帳相關,"ASEF3-2395-805 CA02880BK EIG 382KBP 2395 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16] 
2 ASEF3-2395-805 CA02880BK EIG 382KBL 2395 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16]",無法過帳,2025/9/21 下午 09:28:27
ASEF3,K25,8F,2400,803,過帳相關,機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16],無法過帳,2025/9/21 下午 09:24:00
ASEF3,K25,8F,2400,806,過帳相關,機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[9]，MES_QTY：[27],無法過帳,2025/9/21 下午 09:17:54
ASEF3,K25,8F,3260,ALL,自動化設備相關,,卡盒卡盤,2025/9/21 下午 09:17:28
ASEF3,K25,8F,2400,807,過帳相關,小黑盒  壞掉無法連線,無法過帳,2025/9/21 下午 09:14:29
ASEF3,K25,8F,2400,815,過帳相關,早班未過帳已補過帳~,無法過帳,2025/9/21 下午 09:01:57
ASEF3,K25,8F,2395,808,過帳相關,小黑盒壞了 無法連線,無法過帳,2025/9/21 下午 08:57:41
