廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/7/12 下午 11:32:50
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/7/12 下午 11:23:06
ASEF3,K25,8F,4110,ALL,自動化設備相關,,偵測檢知異常,2026/7/12 下午 09:38:30
ASEF3,K11,8F,4110,ALL,自動化設備相關,"M7139)入料龍門夾爪動作逾時
(M7103)入料龍門過壓(X380)
(M7102)入料龍門Z軸極限遮蔽    ",機台異常,2026/7/12 下午 09:38:22
ASEF3,K11,8F,3910,823,過帳相關,"2D TIME OUT,協助刪除雷射作業紀錄6-27UY3J-036-001",連線異常,2026/7/12 下午 09:28:42
ASEF3,K25,8F,4110,ALL,自動化設備相關,,偵測檢知異常,2026/7/12 下午 08:10:58
ASEF3,K25,8F,3260,ALL,自動化設備相關,,偵測檢知異常,2026/7/12 下午 07:51:09
ASEF1,K21,8F,2945,0380,關閉比對,2945-0380 為虛擬機台過帳使用，還請協助關閉比對，謝謝。,關整台,2026/7/12 下午 07:42:53
ASEF3,K25,8F,3260,ALL,自動化設備相關,,機台異常,2026/7/12 下午 07:00:03
ASEF1,K21,8F,2900,A03H,過帳相關,"TrackIn 失敗(Fail):PFQMVBB002(Magazine ID:MA27792WE) 拆批失敗，批號未產生，請確認。機台:[ASEF1-2900-A03H]，FCB_EX_AUTOMATION Recipe To EAP失敗, Please cal EE or FA to check EAP Server(SendFCB_EX_AUTOMATION Recipe To EAP Fail, Please cal EE or FA to check EAP Server)FAIL:Daemon (172.22.63.6:7500) EAP LOAD 參數失敗(RECIPE FAIL){TID/A=""16752219"" EQPID/A=""ASEF1-2900-A03H"" LOTID/A=""PFQMVBB002"" RECIPE/A=""xqm_2636_12861x10867_1q"" F_REASON/A=""FAIL,_eMarkout_&_MES_GoodDie_Counts_is_not_the_same,please_check_it. eMarkout(216)_/_",無法過帳,2026/7/12 下午 05:21:19
