廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K25,9F,3910,9010,過帳相關,"請協助消除 3910-9010
6-03UYL3-011-006
的作業記錄，謝謝",連線異常,2026/1/25 下午 06:13:42
ASEF3,K25,8F,3260,ALL,自動化設備相關,,機台異常,2026/1/25 下午 04:05:43
ASEF1,K21,8F,2900,A08F,自動化設備相關,"天車默停,料盒不送.
",默停,2026/1/25 下午 03:56:38
ASEF3,K25,8F,4110,ALL,自動化設備相關,na,機台異常,2026/1/25 下午 03:43:18
ASEF3,K25,8F,3260,ALL,自動化設備相關,na,機台異常,2026/1/25 下午 03:42:57
ASEF3,K25,8F,3260,ALL,自動化設備相關,na,機台異常,2026/1/25 下午 03:09:16
ASEF3,K11,8F,3260,ALL,自動化設備相關,,偵測檢知異常,2026/1/25 下午 02:42:00
ASEF1,K21,5F,2845,T05,過帳相關,,連線異常,2026/1/25 下午 02:33:14
ASEF3,K11,8F,3910,823,過帳相關,"2D逾時，未打印，請刪紀錄
6-02UYNT-002-001",無法過帳,2026/1/25 下午 01:45:59
ASEF3,K25,8F,2900,817H,過帳相關,TrackOut 失敗(Fail):批號:04UY3DB002 WAFERID蒐集站點請輸入WAFERID.(MUST KEY IN WAFERID),無法過帳,2026/1/25 下午 01:10:27
ASEF3,K25,8F,2900,801H,過帳相關,MNQMM2B001 WAFERID蒐集站點請輸入WAFERID.(,無法過帳,2026/1/25 下午 12:23:08
ASEF1,K21,8F,2715,A02,自動化設備相關,OVER PUSH,過壓防撞,2026/1/25 上午 11:59:34
ASEF1,K21,8F,2715,A02,自動化設備相關,2715 NG,機台異常,2026/1/25 上午 11:45:48
ASEF3,K25,8F,2900,810H,過帳相關,"032KUCB002 WAFERID蒐集站點請輸入WAFERID
:032KU4B024 WAFERID蒐集站點請輸入WAFERID",無法過帳,2026/1/25 上午 10:44:46
ASEF3,K25,8F,4110,ALL,自動化設備相關,na,機台異常,2026/1/25 上午 10:37:12
ASEF3,K25,8F,4110,ALL,自動化設備相關,na,機台異常,2026/1/25 上午 10:32:20
ASEF3,K11,6F,4730,602,關閉比對,4730#602     180L  美光爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/25 上午 10:15:13
ASEF3,K11,6F,4730,605,關閉比對,4730#605     200L  SQ 升溫率異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/25 上午 10:14:54
ASEF3,K25,9F,3910,9006,過帳相關,"請協助消除 3910-9006
6-MNQMLM-011-001
的作業記錄，謝謝",連線異常,2026/1/25 上午 09:55:08
ASEF3,K11,7F,4730,818,關閉比對,"4730#818     264L(MM1X)     迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
",關整台,2026/1/25 上午 09:19:59
ASEF3,K25,8F,4110,ALL,自動化設備相關,na,機台異常,2026/1/25 上午 09:02:46
ASEF3,K11,9F,4515,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/1/25 上午 08:00:20
ASEF3,K11,8F,4730,808,關閉比對,"4730#808  49L    AI PROFILE 異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
",關整台,2026/1/25 上午 07:59:56
ASEF3,K11,8F,4730,806,關閉比對,4730#806   399L    AI PROFILE 異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/25 上午 07:59:38
ASEF3,K11,8F,4730,809,關閉比對,4730#809   120L    AI PROFILE 異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/25 上午 07:59:18
ASEF3,K11,8F,4730,812,關閉比對,4730#812   1405L  AI PROFILE  (CU) 爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/25 上午 07:58:58
ASEF3,K11,7F,4730,820,關閉比對,4730#820   397L    特殊 AI PROFILE ，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/25 上午 07:58:33
ASEF3,K11,7F,4730,821,關閉比對,4730#821     346L   特殊爐溫 AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/25 上午 07:58:12
ASEF3,K11,7F,4730,803,關閉比對,4730#803     264L   AI PROFILE S-Q-X4L  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/25 上午 07:57:56
ASEF3,K11,6F,4730,652,關閉比對,4730#652   390L    特殊 AI PROFILE MTK ，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/25 上午 07:57:35
ASEF1,K21,8F,2945,0380,關閉比對,,關整台,2026/1/25 上午 07:57:00
ASEF1,K22,9F,4805,B60,關閉比對,,關整台,2026/1/25 上午 07:50:32
ASEF3,K25,8F,4110,ALL,自動化設備相關,na,機台異常,2026/1/25 上午 07:42:02
ASEF3,K25,8F,2900,805H,過帳相關,KEY IN WAFER ID,異常退盒,2026/1/25 上午 06:45:06
ASEF3,K11,6F,4730,652,關閉比對,"4730#652   390L    特殊 AI PROFILE MTK ，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
",關整台,2026/1/25 上午 06:03:43
ASEF3,K25,8F,2900,801H,過帳相關,KEY IN WAFER ID,異常退盒,2026/1/25 上午 05:51:05
ASEF3,K25,8F,2890,801,自動化設備相關,NG,偵測檢知異常,2026/1/25 上午 04:37:32
ASEF3,K25,8F,2890,804,自動化設備相關,NG,卡盒卡盤,2026/1/25 上午 04:31:11
ASEF3,K25,8F,3260,ALL,自動化設備相關,NG,卡盒卡盤,2026/1/25 上午 04:22:16
ASEF3,K11,6F,4600,607,自動化設備相關,OP反映4600-607 天車流道今日默停頻繁，請協助穩定機況，非常感謝,默停,2026/1/25 上午 04:03:14
ASEF3,K25,8F,3670,ALL,自動化設備相關,DRYROOM,卡盒卡盤,2026/1/25 上午 03:30:20
ASEF3,K25,8F,2890,804,自動化設備相關,NG,卡盒卡盤,2026/1/25 上午 03:20:07
ASEF3,K25,8F,3800,ALL,自動化設備相關,NG,偵測檢知異常,2026/1/25 上午 01:56:17
ASEF3,K25,8F,3260,ALL,自動化設備相關,NG,卡盒卡盤,2026/1/25 上午 01:37:44
ASEF3,K25,9F,3910,9001,自動化設備相關,NG,卡盒卡盤,2026/1/25 上午 01:13:40
ASEF3,K25,8F,2900,801H,過帳相關,KEY IN WAFER ID,異常退盒,2026/1/25 上午 01:03:43
ASEF3,K25,8F,3260,ALL,自動化設備相關,NG,卡盒卡盤,2026/1/25 上午 01:00:40
ASEF3,K25,8F,2890,801,自動化設備相關,NG,卡盒卡盤,2026/1/24 下午 11:16:47
ASEF3,K25,8F,2900,806H,過帳相關,WAFER ID,異常退盒,2026/1/24 下午 11:12:31
ASEF3,K25,8F,4507,ALL,自動化設備相關,NG,命令異常,2026/1/24 下午 08:27:10
ASEF3,K25,8F,2845,804,自動化設備相關,NG,命令異常,2026/1/24 下午 08:11:02
ASEF3,K11,7F,4730,820,關閉比對,4730#820   397L    特殊 AI PROFILE ，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/24 下午 08:01:51
ASEF3,K11,8F,4730,808,關閉比對,4730#808  380L    AI PROFILE 異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/24 下午 08:01:33
ASEF3,K11,9F,4515,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/1/24 下午 08:01:15
ASEF3,K11,6F,4730,602,關閉比對,730#602   200L    AI PROFILE 升溫異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/24 下午 08:00:58
ASEF3,K11,8F,4730,806,關閉比對,4730#806   524L    AI PROFILE 異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/24 下午 08:00:38
ASEF3,K11,8F,4730,809,關閉比對,4730#809   120L    AI PROFILE 異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/24 下午 08:00:14
ASEF3,K11,8F,4730,814,關閉比對,4730#814    531L    AI PROFILE MTK，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/24 下午 07:59:53
ASEF3,K11,8F,4730,812,關閉比對,.4730#812   1405L  AI PROFILE  (CU) 爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/24 下午 07:59:34
ASEF3,K11,7F,4730,821,關閉比對,4730#821     346L   特殊爐溫 AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/24 下午 07:59:11
ASEF3,K11,7F,4730,803,關閉比對,4730#803     264L   AI PROFILE S-Q-X4L  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/24 下午 07:58:42
ASEF3,K25,8F,2890,801,自動化設備相關,NG,偵測檢知異常,2026/1/24 下午 07:57:03
ASEF3,K25,9F,3910,9010,過帳相關,"請協助刪除作業紀錄
6-03UY78-004-010",連線異常,2026/1/24 上午 04:34:21
ASEF1,K22,5F,2900,C54F,過帳相關,,無法過帳,2026/1/24 上午 03:57:57
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/1/24 上午 03:45:00
ASEF3,K11,6F,4730,652,關閉比對,4730#652 338   AI PROFILE 迴焊時間異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/24 上午 01:09:12
ASEF3,K25,8F,3800,05,自動化設備相關,,偵測檢知異常,2026/1/24 上午 12:45:53
ASEF1,K21,5F,3910,C01S,過帳相關,"Hello CIM：
3910-C01S 
請協助消除此條批號之作業紀錄，批號為 6-04IECL-001-0006，謝謝。",無法過帳,2026/1/23 下午 11:47:20
ASEF3,K25,8F,2890,801,自動化設備相關,,偵測檢知異常,2026/1/23 下午 10:54:01
ASEF3,K25,9F,3910,9010,過帳相關,"請協助刪除作業記錄
6-032KWZ-003-006",連線異常,2026/1/23 下午 09:00:06
ASEF3,K11,7F,4730,818,關閉比對,4730#818  64L    AI PROFILE 迴焊時間異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/23 下午 08:48:36
ASEF3,K11,8F,4730,808,關閉比對,4730#808  434L    AI PROFILE 異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/23 下午 08:36:16
ASEF3,K25,8F,3260,ALL,自動化設備相關,,卡盒卡盤,2026/1/23 下午 07:57:38
ASEF3,K25,8F,3670,ALL,自動化設備相關,,過壓防撞,2026/1/23 下午 07:57:04
ASEF3,K11,9F,4515,651,關閉比對,"4515#651     需過帳4554站點，請協助關閉防漏洗功能
",關整台,2026/1/23 下午 07:56:19
