Factory,DT,Trouble_Status,Oper_No,Trouble_Item,Description
ASEF3,"2025-7-7, 00:08",自動化設備相關,4110,機台異常,
ASEF3,"2025-7-7, 00:33",自動化設備相關,4110,機台異常,
ASEF3,"2025-7-7, 02:45",自動化設備相關,3260,默停,
ASEF3,"2025-7-7, 02:56",過帳相關,3910,連線異常,"5-BRQMM3-010-001
5-BRQMM3-010-002
刪除以上2D記錄"
ASEF3,"2025-7-7, 02:57",自動化設備相關,4110,機台異常,
ASEF3,"2025-7-7, 03:13",過帳相關,3910,連線異常,"3910-823 因讀取2D時FAIL，機台顯示產品已打印，實際產品未打印。
批號為 5-HVQMM6-002-005
目前當站EE已確認OK，煩請協助消除此條批號之作業紀錄，謝謝"
ASEF1,"2025-7-7, 03:49",過帳相關,3910,連線異常,"3910-C01S 
請協助消除此條批號之作業紀錄，批號為 5-27IESL-002-004，謝謝。"
ASEF3,"2025-7-7, 03:56",自動化設備相關,3260,默停,
ASEF3,"2025-7-7, 03:56",自動化設備相關,3260,機台異常,
ASEF3,"2025-7-7, 04:11",自動化設備相關,4110,機台異常,
ASEF3,"2025-7-7, 05:01",自動化設備相關,4110,機台異常,
ASEF3,"2025-7-7, 05:52",自動化設備相關,4110,機台異常,
ASEF3,"2025-7-7, 06:52",自動化設備相關,4110,機台異常,
ASEF3,"2025-7-7, 06:54",自動化設備相關,3260,機台異常,
ASEF3,"2025-7-7, 07:13",過帳相關,3910,無法過帳,"請幫忙消除記錄
BRQMM3B010-010-001"
ASEF1,"2025-7-7, 07:43",自動化設備相關,2500,機台異常,"2500 儲格異常
A LINE NG"
ASEF1,"2025-7-7, 07:49",自動化設備相關,ALL,偵測檢知異常,NA
ASEF3,"2025-7-7, 08:35",關閉比對,4515,關整台,4515#651 需過4554站點，請協助關閉帳防漏洗功能
ASEF3,"2025-7-7, 08:36",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-7, 08:36",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-7, 08:37",關閉比對,4730,關整台,4730#803  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF1,"2025-7-7, 08:43",過帳相關,2945,無法過帳,MFG需求關閉比對
ASEF1,"2025-7-7, 09:31",自動化設備相關,2500,機台異常,A LINE NG
ASEF3,"2025-7-7, 09:42",自動化設備相關,3800,機台異常,AOI
ASEF3,"2025-7-7, 09:57",關閉比對,4730,關整台,4730#809   AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫。
ASEF3,"2025-7-7, 09:58",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫。
ASEF1,"2025-7-7, 10:31",自動化設備相關,2500,機台異常,B LINE NG
ASEF3,"2025-7-7, 10:49",過帳相關,3910,連線異常,"消除作業紀錄，批號：
5-ASQMCF-002-003"
ASEF3,"2025-7-7, 12:03",關閉比對,4730,關整台,4730#652  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫。
ASEF1,"2025-7-7, 12:08",自動化設備相關,2500,機台異常,A B LINE NG
ASEF3,"2025-7-7, 13:46",過帳相關,2601,連線異常,NG
ASEF3,"2025-7-7, 17:30",過帳相關,3910,連線異常,"消除作業紀錄，共2條，批號：
5-282KYA-006-005
＆
5-282KYA-006-006"
ASEF1,"2025-7-7, 18:05",自動化設備相關,2715,機台異常,2715-03 NG
ASEF3,"2025-7-7, 18:15",自動化設備相關,3260,機台異常,NG
ASEF3,"2025-7-7, 18:17",自動化設備相關,3670,默停,NG
ASEF3,"2025-7-7, 18:58",過帳相關,3910,無法過帳,讀取2D逾時，請協助刪除批號5-HWQMWB-008-002的作業記錄，謝謝
ASEF3,"2025-7-7, 19:53",過帳相關,4110,無法過帳,
ASEF3,"2025-7-7, 19:56",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-7-7, 19:57",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-7, 19:58",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-7, 19:58",關閉比對,4730,關整台,4730#809 AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-7, 19:58",關閉比對,4730,關整台,4730#810 AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-7, 19:59",關閉比對,4730,關整台,4730#652  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-7, 20:13",過帳相關,4110,無法過帳,
ASEF3,"2025-7-7, 20:19",過帳相關,3910,連線異常,"3910-823 因讀取2D時FAIL，機台顯示產品已打印，實際產品未打印。
批號為 5-26UY6W-019-001
目前當站EE已確認OK，煩請協助消除此條批號之作業紀錄，謝謝。"
ASEF1,"2025-7-7, 20:33",過帳相關,2945,參數比對異常,請協助關閉 2945-0380 比對
ASEF3,"2025-7-8, 01:58",過帳相關,4110,無法過帳,
ASEF3,"2025-7-8, 03:04",自動化設備相關,3260,過壓防撞,
ASEF3,"2025-7-8, 07:28",過帳相關,3910,連線異常,"請協助刪除作業記錄
5-HVQMRL-002-009"
ASEF1,"2025-7-8, 07:36",自動化設備相關,2500,機台異常,A B LINE NG
ASEF1,"2025-7-8, 08:07",過帳相關,2945,無法過帳,
ASEF3,"2025-7-8, 08:07",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-7-8, 08:07",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 08:08",關閉比對,4730,關整台,4730#809 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 08:09",關閉比對,4730,關整台,4730#810 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 08:10",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 08:10",關閉比對,4730,關整台,4730#803  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 08:11",關閉比對,4730,關整台,4730#805  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF1,"2025-7-8, 08:26",自動化設備相關,2500,機台異常,"25 00儲格異常
B LINE NG"
ASEF1,"2025-7-8, 08:43",自動化設備相關,2845,命令異常,27L872A022 基板排完未送自動化烤箱，一直放在ASEF1-2845-A01_EQP-087 已逾3Hrs
ASEF3,"2025-7-8, 08:52",關閉比對,4730,關整台,4730#652  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫。
ASEF1,"2025-7-8, 11:15",過帳相關,3910,無法過帳,3910-C01S  因連線中斷導致讀取2D後失敗，無法打印該條產品。批號為 :  5-27IESN-001-006，目前當站EE已確認OK，煩請協助消除此條批號之作業紀錄，謝謝。
ASEF1,"2025-7-8, 13:00",過帳相關,3910,無法過帳,3910-C01S  因連線中斷導致讀取2D後失敗，無法打印該條產品。批號為 :  5-27IESN-001-006，目前當站EE已確認OK，煩請協助消除此條批號之作業紀錄，謝謝。
ASEF1,"2025-7-8, 13:40",自動化設備相關,2715,機台異常,2715-03 NG
ASEF3,"2025-7-8, 14:02",自動化設備相關,3670,機台異常,
ASEF1,"2025-7-8, 14:28",自動化設備相關,2500,機台異常,B INE NG
ASEF1,"2025-7-8, 14:46",自動化設備相關,2500,卡盒卡盤,B LINE NG
ASEF1,"2025-7-8, 15:02",自動化設備相關,2500,機台異常,A B LINE NG
ASEF1,"2025-7-8, 15:38",自動化設備相關,2715,機台異常,2715-03 NG
ASEF3,"2025-7-8, 15:44",自動化設備相關,4110,機台異常,
ASEF3,"2025-7-8, 15:59",自動化設備相關,3260,機台異常,
ASEF3,"2025-7-8, 16:43",自動化設備相關,4110,機台異常,
ASEF1,"2025-7-8, 17:08",自動化設備相關,2500,機台異常,B LINE NG
ASEF1,"2025-7-8, 17:47",自動化設備相關,2500,卡盒卡盤,B LINE NG
ASEF1,"2025-7-8, 18:23",自動化設備相關,2715,機台異常,2715-A02 NG
ASEF3,"2025-7-8, 18:35",自動化設備相關,4110,機台異常,
ASEF1,"2025-7-8, 18:37",自動化設備相關,2500,機台異常,2500儲格異常
ASEF3,"2025-7-8, 18:57",自動化設備相關,4110,機台異常,
ASEF3,"2025-7-8, 19:51",自動化設備相關,4507,卡盒卡盤,
ASEF1,"2025-7-8, 20:00",關閉比對,2945,關整台,
ASEF3,"2025-7-8, 20:04",自動化設備相關,4110,機台異常,M7824)出料7無盤
ASEF3,"2025-7-8, 20:11",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-7-8, 20:12",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 20:13",關閉比對,4730,關整台,4730#809 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 20:13",關閉比對,4730,關整台,4730#810 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 20:13",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 20:14",關閉比對,4730,關整台,4730#818  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 20:14",關閉比對,4730,關整台,4730#652  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 20:40",自動化設備相關,3670,過壓防撞,
ASEF3,"2025-7-8, 20:53",關閉比對,4730,關整台,4730#814  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-8, 21:01",自動化設備相關,4110,機台異常,M7824)出料7無盤
ASEF3,"2025-7-8, 21:48",自動化設備相關,4110,機台異常,NG
ASEF3,"2025-7-8, 23:27",自動化設備相關,3670,機台異常,NG
ASEF3,"2025-7-8, 23:57",關閉比對,4730,關整台,4730#803  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-9, 01:34",自動化設備相關,4110,機台異常,NG
ASEF3,"2025-7-9, 02:20",自動化設備相關,4110,機台異常,NG
ASEF3,"2025-7-9, 02:47",自動化設備相關,4507,卡盒卡盤,NG
ASEF3,"2025-7-9, 03:08",自動化設備相關,3450,機台異常,NG
ASEF3,"2025-7-9, 03:23",自動化設備相關,3450,機台異常,NG
ASEF3,"2025-7-9, 05:28",自動化設備相關,4110,機台異常,NG
ASEF1,"2025-7-9, 07:48",關閉比對,4805,關整台,
ASEF1,"2025-7-9, 07:52",自動化設備相關,2500,機台異常,B LINE NG
ASEF3,"2025-7-9, 08:05",過帳相關,3910,連線異常,"消除作業記錄，批號：
5-BRQMQU-002-010"
ASEF3,"2025-7-9, 08:12",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-7-9, 08:12",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-9, 08:12",關閉比對,4730,關整台,4730#809 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-9, 08:13",關閉比對,4730,關整台,4730#810 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-9, 08:13",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-9, 08:14",關閉比對,4730,關整台,4730#818  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-9, 08:14",關閉比對,4730,關整台,4730#652  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-9, 08:15",關閉比對,4730,關整台,4730#803  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF1,"2025-7-9, 08:19",自動化設備相關,2500,卡盒卡盤,B LINE NG
ASEF1,"2025-7-9, 08:39",過帳相關,2845,連線異常,
ASEF3,"2025-7-9, 08:42",過帳相關,2195,無法過帳,開啟TOSA模式，謝謝
ASEF1,"2025-7-9, 08:43",過帳相關,4800,連線異常,
ASEF1,"2025-7-9, 09:01",自動化設備相關,2500,卡盒卡盤,B LINE NG
ASEF1,"2025-7-9, 09:36",自動化設備相關,2500,機台異常,B LINE NG
ASEF1,"2025-7-9, 09:54",自動化設備相關,2500,默停,手臂有人關了，貨該去儲格都亂跑出來
ASEF3,"2025-7-9, 11:44",過帳相關,3910,連線異常,"2D TIME OUT,協助清除雷射作業紀錄5-27UYL6-006-005"
ASEF1,"2025-7-9, 12:16",過帳相關,2845,連線異常,
ASEF1,"2025-7-9, 12:40",自動化設備相關,2500,卡盒卡盤,A LINE NG
ASEF3,"2025-7-9, 13:13",過帳相關,3910,無法過帳,請幫忙重開 3910-824 EAP 程式
ASEF3,"2025-7-9, 14:11",過帳相關,3910,無法過帳,5-27UYLA-020-005 Because 2D OVER TIME，please cencel 2D
ASEF1,"2025-7-9, 14:13",自動化設備相關,2500,機台異常,B LINE NG
ASEF1,"2025-7-9, 14:54",自動化設備相關,2500,機台異常,A LINE NG
ASEF1,"2025-7-9, 16:46",自動化設備相關,2500,機台異常,A LINE NG
ASEF1,"2025-7-9, 17:09",自動化設備相關,2715,機台異常,"2715-03 NG
2500手臂NG"
ASEF3,"2025-7-9, 19:37",自動化設備相關,4110,機台異常,M7824)出料7無盤
ASEF1,"2025-7-9, 20:06",關閉比對,2945,關整台,
ASEF3,"2025-7-9, 20:22",自動化設備相關,4110,機台異常,
ASEF3,"2025-7-9, 20:40",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-7-9, 20:40",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-9, 20:40",關閉比對,4730,關整台,4730#810 AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-9, 20:41",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-9, 20:41",關閉比對,4730,關整台,4730#811  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-7-9, 20:41",關閉比對,4730,關整台,4730#803  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
