廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K11,8F,4730,811,關閉比對,4730-811   CU系統是PASS，但EAP與機台端連線總是異常無法正常連線上，故需關閉AI PROFILE，請CIM幫忙關閉,關整台,2026/3/8 下午 11:26:33
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2026/3/8 下午 10:47:26
ASEF3,K11,7F,4730,820,關閉比對,4730#820   550L   AI PROFILE  異常  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 09:29:49
ASEF3,K11,7F,4730,820,關閉比對,4730#820   550L   AI PROFILE  異常  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,By批號,2026/3/8 下午 09:29:16
ASEF3,K11,9F,4730,819,關閉比對,"4730#819  1635L   無AI Profile功能，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
",關整台,2026/3/8 下午 07:49:37
ASEF3,K11,9F,4730,817,關閉比對,4730#817  1058L AI PROFILE MTK未建檔，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 07:49:18
ASEF3,K11,9F,4515,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/3/8 下午 07:48:53
ASEF3,K11,8F,4730,814,關閉比對,4730#814   852L   AI PROFILE MTK  ，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 07:48:32
ASEF3,K11,8F,4730,809,關閉比對,4730-#809  726L  S AI  PROFILE 異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 07:48:09
ASEF3,K11,8F,4730,812,關閉比對,4730#812  1405L  CU AI PROFILE  異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 07:47:49
ASEF3,K11,7F,4730,805,關閉比對,4730#805  45L CU  AI PROFILE 異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 07:47:30
ASEF3,K11,7F,4730,818,關閉比對,4730#818   264L S AI PROFILE 異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 07:46:55
ASEF3,K11,7F,4730,822,關閉比對,4730#822   397L   AI PROFILE  MTK  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 07:46:36
ASEF3,K11,7F,4730,821,關閉比對,4730#821   346L  AI PROFILE 爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 07:46:19
ASEF3,K11,7F,4730,803,關閉比對,4730#803   264L S-Q  AI PROFILE爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 07:46:01
ASEF3,K11,6F,4730,652,關閉比對,4730#652  390L AI PROFILE MTK未建檔，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 07:45:41
ASEF3,K11,6F,4730,602,關閉比對,4730#602  683L S AI  PROFILE 迴焊時間異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/3/8 下午 07:42:30
ASEF1,K21,8F,2945,0380,關閉比對,2945-0380 為虛擬機台過帳使用，還請協助關閉比對，謝謝。,關整台,2026/3/8 下午 07:33:02
ASEF3,K25,9F,3910,9003,過帳相關,"請幫忙消除作業紀錄謝謝
批號為6-10UYBC-013-004",連線異常,2026/3/8 下午 02:58:01
ASEF3,K25,8F,4110,ALL,自動化設備相關,ng,機台異常,2026/3/8 下午 01:30:32
ASEF1,K21,5F,3910,C01S,過帳相關,"Hello CIM：
3910-C01S  批號為 :  6-10IEDR-002-008，目前當站EE已確認OK，煩請協助消除此條批號之作業紀錄，謝謝。",無法過帳,2026/3/8 下午 12:30:26
