廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/7 下午 11:03:39
ASEF3,K11,9F,4600,819,關閉比對,4600-819 1810 因IPD設定尚未完成，無法正常過帳，PE指示關閉比對，再請協助，謝謝,關整台,2026/6/7 下午 11:01:57
ASEF3,K25,8F,2890,804,自動化設備相關,,卡盒卡盤,2026/6/7 下午 10:47:42
ASEF3,K11,8F,4110,ALL,自動化設備相關,烤箱無法入盤,機台異常,2026/6/7 下午 10:25:14
ASEF3,K11,8F,4110,ALL,自動化設備相關,"M7139)入料龍門夾爪動作逾時
(M7103)入料龍門過壓(X380)
(M7102)入料龍門Z軸極限遮蔽  ",機台異常,2026/6/7 下午 09:17:08
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/7 下午 08:44:25
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/7 下午 08:26:09
ASEF3,K25,9F,4730,9005,關閉比對,,關整台,2026/6/7 下午 07:41:20
ASEF3,K22,9F,4730,9003,關閉比對,,關整台,2026/6/7 下午 07:40:52
ASEF3,K11,9F,4730,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/6/7 下午 07:40:51
ASEF3,K25,9F,4730,9002,關閉比對,,關整台,2026/6/7 下午 07:40:27
ASEF3,K11,8F,4730,811,關閉比對,4730#811  64L(QR23)   S  AI PROFILE  最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 下午 07:40:19
ASEF3,K25,9F,4730,9001,關閉比對,,關整台,2026/6/7 下午 07:40:06
ASEF3,K11,8F,4730,812,關閉比對,4730#812  1405L  CU AI PROFILE  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 下午 07:40:00
ASEF3,K11,8F,4730,809,關閉比對,4730#809  266L美光   AI PROFILE  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 下午 07:39:36
ASEF3,K11,7F,4730,822,關閉比對,4730#822   730L   迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 下午 07:39:14
ASEF3,K11,7F,4730,818,關閉比對,4730#818   577L   AI PROFILE   迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 下午 07:38:53
ASEF3,K11,7F,4730,821,關閉比對,4730#821   346L   AI PROFILE 爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 下午 07:38:28
ASEF3,K11,7F,4730,803,關閉比對,4730#803   852L    AI PROFILE  爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 下午 07:38:03
ASEF3,K11,6F,4730,602,關閉比對,"4730#602  524L    AI PROFILE S 最高溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
",關整台,2026/6/7 下午 07:37:40
ASEF1,K21,8F,2945,0380,關閉比對,"2945-0380 為虛擬機台過帳使用，還請協助關閉比對，謝謝。
",關整台,2026/6/7 下午 07:34:31
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/7 下午 07:25:59
ASEF1,K21,8F,2715,A03,自動化設備相關,2715 NG,機台異常,2026/6/7 下午 07:12:47
ASEF3,K11,8F,4110,A03,自動化設備相關,,機台異常,2026/6/7 下午 04:49:52
ASEF3,K11,8F,3910,819,過帳相關,"PLEASE DELETE 2D DATA 
6-MXQMVE-014-002

THANK YOU",無法過帳,2026/6/7 下午 03:50:38
ASEF3,K11,8F,3910,814,過帳相關,"PLEASE DELETE 2D DATA 

6-21NFUC-025-001

THANK YOU.",無法過帳,2026/6/7 下午 01:50:28
ASEF1,K21,5F,3910,C01S,過帳相關,"3910-C01S：
請協助消除此條號 6-23IEFU-001-001 之作業記錄，謝謝。",無法過帳,2026/6/7 上午 10:41:07
ASEF1,K21,5F,3910,C01S,過帳相關,"3910-C01S：
請協助消除此條號 6-23IEFT-001-004 之作業記錄，謝謝。",無法過帳,2026/6/7 上午 09:55:24
ASEF1,K21,8F,2890,A01M,過帳相關,因測試關係須重開關SECS軟體 開啟後EAP無法連線有重開需求,連線異常,2026/6/7 上午 09:33:41
ASEF1,K21,8F,2890,A61,過帳相關,電腦當機 重開EAP重啟需求,連線異常,2026/6/7 上午 08:35:26
ASEF1,K21,8F,2890,A14,過帳相關,電腦當機 重開EAP重啟需求,連線異常,2026/6/7 上午 08:35:05
ASEF1,K21,8F,2890,A02M,過帳相關,電腦當機 重開EAP重啟需求,連線異常,2026/6/7 上午 08:34:47
ASEF3,K11,9F,4515,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/6/7 上午 08:14:50
ASEF3,K11,8F,4730,811,關閉比對,4730#811  64L(QR23)   S  AI PROFILE  最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 上午 08:14:32
ASEF3,K11,8F,4730,812,關閉比對,4730#812  1405L  CU AI PROFILE  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 上午 08:14:17
ASEF3,K11,8F,4730,809,關閉比對,4730#809  266L美光   AI PROFILE  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 上午 08:14:02
ASEF3,K11,7F,4730,822,關閉比對,4730#822   730L   迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 上午 08:13:48
ASEF3,K11,7F,4730,818,關閉比對,4730#818   577L   AI PROFILE   迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 上午 08:13:32
ASEF3,K11,7F,4730,821,關閉比對,4730#821   346L   AI PROFILE 爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 上午 08:13:17
ASEF3,K25,9F,3910,ALL,過帳相關,"2D回傳Timeout，請協助刪除作業記錄：
6-202KJM-011-008
6-222KLM-007-001",連線異常,2026/6/7 上午 08:13:08
ASEF3,K11,7F,4730,803,關閉比對,4730#803   852L    AI PROFILE  爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 上午 08:13:02
ASEF3,K11,6F,4730,602,關閉比對,4730#602  524L    AI PROFILE S 最高溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/7 上午 08:12:40
ASEF1,K22,9F,4805,B60,關閉比對,,關整台,2026/6/7 上午 07:55:00
ASEF3,K11,8F,4110,ALL,自動化設備相關,"M7139)入料龍門夾爪動作逾時
(M7103)入料龍門過壓(X380)
(M7102)入料龍門Z軸極限遮蔽",機台異常,2026/6/7 上午 07:17:34
ASEF3,K25,9F,3910,9005,過帳相關,"請幫忙消除作業記錄
批號為:6-222KLK-014-007",連線異常,2026/6/7 上午 06:56:37
ASEF3,K25,9F,3910,9006,過帳相關,"請幫忙消除作業記錄
批號為:6-222KLK-012-008
            6-222KLK-012-009",連線異常,2026/6/7 上午 06:55:38
ASEF3,K25,9F,3910,9003,過帳相關,"請幫忙消除作業記錄
批號為:6-202KGS-028-004
            6-202KGS-028-005",連線異常,2026/6/7 上午 06:53:02
ASEF3,K11,8F,3260,ALL,自動化設備相關,機故,機台異常,2026/6/7 上午 06:26:14
ASEF3,K25,8F,2890,804,自動化設備相關,,卡盒卡盤,2026/6/7 上午 06:26:08
ASEF3,K25,8F,3670,ALL,自動化設備相關,,偵測檢知異常,2026/6/7 上午 06:18:15
ASEF3,K11,8F,3260,ALL,自動化設備相關,"3260 LOADER ROBOT NO GOOD
",機台異常,2026/6/7 上午 06:10:54
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/7 上午 03:40:35
ASEF1,K21,5F,2195,C01,過帳相關,RUN TOSA,無法過帳,2026/6/7 上午 02:51:48
ASEF1,K21,5F,3910,C01S,過帳相關,"3910-C01S：
請協助消除此條號 6-23IEF9-001-001 之作業記錄，謝謝。",連線異常,2026/6/7 上午 02:31:56
ASEF1,K21,5F,3910,C01S,過帳相關,"3910-C01S：
請協助消除此條號 6-23IEFA-001-001 之作業記錄，謝謝。",連線異常,2026/6/7 上午 01:52:56
ASEF3,K25,8F,3670,E03,自動化設備相關,,命令異常,2026/6/7 上午 01:50:26
ASEF1,K21,5F,3910,C01S,過帳相關,"3910-C01S：
請協助消除此條號 6-23IEFA-001-002 之作業記錄，謝謝。",連線異常,2026/6/7 上午 01:48:45
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/7 上午 01:46:33
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/6 下午 11:34:08
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/6 下午 11:19:07
ASEF3,K11,8F,4110,ALL,自動化設備相關,"(M7139)入料龍門夾爪動作逾時
(M7103)入料龍門過壓(X380)
(M7102)入料龍門Z軸極限遮蔽  ",機台異常,2026/6/6 下午 10:32:03
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/6/6 下午 10:13:31
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/6 下午 09:52:50
ASEF1,K21,5F,3910,C01S,過帳相關,"3910-C01S：
請協助消除此條號 6-23IEF8-001-007 之作業記錄，謝謝。",連線異常,2026/6/6 下午 09:51:10
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2026/6/6 下午 09:48:27
ASEF1,K21,5F,3910,C01S,過帳相關,"3910-C01S：
請協助消除此條號 6-23IEF8-001-010 之作業記錄，謝謝。",無法過帳,2026/6/6 下午 09:41:38
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2026/6/6 下午 08:43:39
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2026/6/6 下午 08:32:55
ASEF3,K11,9F,4515,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/6/6 下午 08:01:02
ASEF3,K11,7F,4730,811,關閉比對,4730#811  64L(QR23)   S  AI PROFILE  最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/6 下午 08:00:21
ASEF3,K11,8F,4730,812,關閉比對,4730#812  1405L  CU AI PROFILE  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/6 下午 07:59:43
ASEF3,K11,8F,4730,809,關閉比對,4730#809  266L美光   AI PROFILE  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/6 下午 07:59:11
ASEF3,K11,8F,4730,807,關閉比對,4730#807  180L美光   AI PROFILE  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/6 下午 07:58:25
ASEF3,K11,7F,4730,822,關閉比對,4730#822   169L   迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/6/6 下午 07:57:43
