Factory,DT,Trouble_Status,Oper_No,Trouble_Item,Description
ASEF1,"2025-5-19, 01:15",過帳相關,4800,無法過帳,EAP issue please check it
ASEF3,"2025-5-19, 03:33",過帳相關,2195,連線異常,
ASEF3,"2025-5-19, 05:10",自動化設備相關,3450,機台異常,3450自動化機故，請協助修復
ASEF3,"2025-5-19, 07:53",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-5-19, 07:53",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-19, 07:54",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-19, 07:54",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-19, 07:55",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-19, 07:55",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-19, 07:55",關閉比對,4730,關整台,4730#818 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF1,"2025-5-19, 08:04",關閉比對,4805,關整台,
ASEF3,"2025-5-19, 08:54",關閉比對,4730,關整台,壞了
ASEF3,"2025-5-19, 08:54",關閉比對,4730,關整台,壞了
ASEF3,"2025-5-19, 08:54",關閉比對,4730,關整台,無AI PROFILE
ASEF3,"2025-5-19, 08:55",關閉比對,4515,關整台,過帳
ASEF3,"2025-5-19, 09:29",自動化設備相關,3670,機台異常,
ASEF3,"2025-5-19, 10:36",過帳相關,3910,無法過帳,5-19UYE3-015-002消除作紀錄
ASEF1,"2025-5-19, 12:56",過帳相關,2195,無法過帳,"作業一般貨,請協助切換"
ASEF1,"2025-5-19, 16:39",關閉比對,3400,關整台,2502L 點完flux需要過帳使用
ASEF3,"2025-5-19, 19:48",自動化設備相關,4110,機台異常,
ASEF3,"2025-5-19, 19:49",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-5-19, 19:49",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-19, 19:49",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-19, 19:50",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-19, 19:50",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-19, 19:50",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-19, 19:51",關閉比對,4730,關整台,4730#818 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-19, 20:10",過帳相關,3910,連線異常,2D TIME OUT，協助清除雷射作業紀錄5-FVQMWD-011-005
ASEF3,"2025-5-20, 00:00",關閉比對,4730,關整台,4730#805  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 00:16",自動化設備相關,3450,機台異常,
ASEF3,"2025-5-20, 01:19",過帳相關,2195,連線異常,
ASEF3,"2025-5-20, 02:13",自動化設備相關,3450,機台異常,3450自動化機故，請協助修復
ASEF3,"2025-5-20, 02:21",過帳相關,2845,無法過帳,
ASEF3,"2025-5-20, 06:12",自動化設備相關,3450,機台異常,3450 STK1 出料異常
ASEF3,"2025-5-20, 06:15",自動化設備相關,4110,機台異常,4110自動化機故
ASEF3,"2025-5-20, 06:47",過帳相關,2195,無法過帳,PORT A 作業狀態不符
ASEF1,"2025-5-20, 07:54",自動化設備相關,2715,機台異常,2715-A02 NG
ASEF3,"2025-5-20, 07:57",過帳相關,3910,無法過帳,"5-FVQMWV-010-005
消除作業記錄"
ASEF3,"2025-5-20, 08:03",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-5-20, 08:15",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 08:15",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 08:16",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 08:17",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 08:17",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 08:18",關閉比對,4730,關整台,4730#818 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 08:18",關閉比對,4730,關整台,4730#805 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 08:41",自動化設備相關,3450,機台異常,手臂異常
ASEF1,"2025-5-20, 08:49",自動化設備相關,2500,機台異常,A LINE NG
ASEF1,"2025-5-20, 08:50",自動化設備相關,2715,機台異常,2715-A 3 NG
ASEF1,"2025-5-20, 09:22",自動化設備相關,2500,機台異常,A LINE NG
ASEF3,"2025-5-20, 09:31",自動化設備相關,3450,機台異常,更換上層皮帶
ASEF5,"2025-5-20, 10:00",關閉比對,2930,關整台,因工程實驗 需幫忙關閉 K18 9F  2930-K03N 爐溫比對，此條線PE實驗，PE自行調整爐溫
ASEF1,"2025-5-20, 13:28",自動化設備相關,2500,機台異常,B LINE NG
ASEF3,"2025-5-20, 13:46",自動化設備相關,3260,機台異常,
ASEF1,"2025-5-20, 14:56",過帳相關,2195,連線異常,請改TOSA作業
ASEF3,"2025-5-20, 15:06",自動化設備相關,3260,機台異常,
ASEF1,"2025-5-20, 15:13",自動化設備相關,2500,機台異常,B LINE NG
ASEF3,"2025-5-20, 16:19",過帳相關,3910,無法過帳,"2D FAIL未打印，請刪記錄
5-BKQMSL-002-005"
ASEF1,"2025-5-20, 16:49",過帳相關,2195,無法過帳,作業非TOSA，請協助更改一般比對程式
ASEF1,"2025-5-20, 18:32",自動化設備相關,2500,機台異常,2500儲格異常
ASEF5,"2025-5-20, 18:39",過帳相關,2900,無法過帳,"K18-9F 2900-K12F 串2930-K12F，請CIM人員重新幫忙確認串機&機台容量等資料及相關資訊.
並協助相關自動化設定,設定完成請將串機畫面寄出，TKS~~!! 
 Capacity : FCQ=6 / JETTING=3 / Reflow=6
 串聯機台:    2900-K12F (E0167265) 串 2930-K12F (E0174034)"
ASEF3,"2025-5-20, 19:18",自動化設備相關,3670,機台異常,
ASEF3,"2025-5-20, 19:41",自動化設備相關,4110,機台異常,NG
ASEF3,"2025-5-20, 19:48",自動化設備相關,3260,機台異常,NG
ASEF3,"2025-5-20, 19:56",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-5-20, 19:57",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 19:58",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 19:58",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 19:58",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 19:59",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 19:59",關閉比對,4730,關整台,4730#818 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 19:59",關閉比對,4730,關整台,4730#805 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 20:02",關閉比對,4730,關整台,4730#822 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-20, 20:40",過帳相關,3910,連線異常,請協助消除5-HQQMJG-002-005的作業紀錄  謝謝
ASEF3,"2025-5-20, 21:22",自動化設備相關,4110,機台異常,NG
ASEF3,"2025-5-20, 22:54",自動化設備相關,4110,機台異常,NG
ASEF3,"2025-5-21, 00:06",自動化設備相關,4110,機台異常,NG
ASEF3,"2025-5-21, 01:24",自動化設備相關,4110,機台異常,NG
ASEF1,"2025-5-21, 01:59",過帳相關,2195,無法過帳,RUN TOSA
ASEF3,"2025-5-21, 02:32",自動化設備相關,3450,機台異常,STK02 機故，請協助修復
ASEF3,"2025-5-21, 03:54",自動化設備相關,3450,機台異常,"自動化3450機故,請協助處理"
ASEF3,"2025-5-21, 04:35",自動化設備相關,4110,機台異常,NG
ASEF3,"2025-5-21, 05:09",自動化設備相關,4110,機台異常,NG
ASEF3,"2025-5-21, 05:18",自動化設備相關,3450,機台異常,"STK02 機故頻繁,請協助修復"
ASEF3,"2025-5-21, 06:21",自動化設備相關,4110,機台異常,NG
ASEF1,"2025-5-21, 07:20",自動化設備相關,ALL,命令異常,2900-A02/A01 天車指令異常，整條塞車不能動
ASEF1,"2025-5-21, 07:44",自動化設備相關,2715,機台異常,2715NG
ASEF3,"2025-5-21, 07:56",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-5-21, 07:56",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
