Factory,DT,Trouble_Status,Oper_No,Trouble_Item,Description
ASEF3,"2025-4-14, 00:10",過帳相關,3910,連線異常,下載MAP資料失敗，請消除記錄：5-KRQMYJ-019-004
ASEF3,"2025-4-14, 01:20",過帳相關,2195,無法過帳,"Port_A_still_working,please_check_again"
ASEF3,"2025-4-14, 04:29",自動化設備相關,3450,機台異常,
ASEF3,"2025-4-14, 07:55",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-4-14, 07:55",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-4-14, 07:55",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-4-14, 07:56",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-4-14, 07:56",關閉比對,4730,關整台,4730#605 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-4-14, 07:56",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-4-14, 08:00",自動化設備相關,4110,偵測檢知異常,"(M7418)烤箱STAGE34[A01]開關門等待愈時
(M7274)烤箱STAGE34[上層A01]交握異常"
ASEF3,"2025-4-14, 08:01",自動化設備相關,3670,過壓防撞,夾爪過壓
ASEF1,"2025-4-14, 08:14",自動化設備相關,2500,機台異常,收料口停止
ASEF3,"2025-4-14, 08:32",關閉比對,4730,關整台,4730#817  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫。
ASEF1,"2025-4-14, 08:34",關閉比對,4805,關整台,
ASEF1,"2025-4-14, 09:19",過帳相關,4600,無法過帳,
ASEF3,"2025-4-14, 09:50",過帳相關,2195,無法過帳,切換一般模式，謝謝
ASEF1,"2025-4-14, 12:19",自動化設備相關,2500,機台異常,2500-A05 出爐待搬運已逾1.5Hrs
ASEF3,"2025-4-14, 13:34",自動化程式相關,3400,程式更新,"請協助建立UF機台腳數，感謝
LC 1960
PKG VO4C
SLOT 1"
ASEF1,"2025-4-14, 14:07",自動化設備相關,2500,機台異常,取料口異常
ASEF3,"2025-4-14, 14:24",關閉比對,4730,關整台,4730#603  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫。
ASEF3,"2025-4-14, 17:48",自動化設備相關,3260,機台異常,
ASEF1,"2025-4-14, 17:53",過帳相關,2845,連線異常,
ASEF1,"2025-4-14, 18:23",過帳相關,3190,無法過帳,"unloader無法自動過帳,煩請重啟EAP程式,並幫忙確認unloader是否有連線成功(感謝您的協助)"
ASEF3,"2025-4-14, 18:29",自動化設備相關,3800,偵測檢知異常,
ASEF1,"2025-4-14, 18:37",自動化設備相關,2500,機台異常,5A5UHA013  等 缺少烘烤起始時間
ASEF1,"2025-4-14, 18:39",自動化設備相關,2500,機台異常,13A5SRA029....缺少烘烤結束時間
ASEF3,"2025-4-14, 19:41",自動化設備相關,4110,偵測檢知異常,NG
ASEF3,"2025-4-14, 19:46",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-4-14, 19:47",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-4-14, 19:48",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
