Factory,DT,Trouble_Status,Oper_No,Trouble_Item,Description
ASEF1,"2025-1-27, 01:05",過帳相關,3400,連線異常,網路斷線 幫忙重開
ASEF1,"2025-1-27, 01:05",過帳相關,3400,連線異常,網路斷線 幫忙重開
ASEF1,"2025-1-27, 01:06",過帳相關,3400,連線異常,網路斷線 幫忙重開
ASEF1,"2025-1-27, 01:22",過帳相關,3400,連線異常,網路斷線 請重開
ASEF1,"2025-1-27, 01:23",過帳相關,3400,無法過帳,網路斷線 請重開
ASEF1,"2025-1-27, 01:37",關閉比對,4600,關整台,趕出貨效率
ASEF1,"2025-1-27, 02:07",過帳相關,3400,連線異常,網路斷線 請重開
ASEF1,"2025-1-27, 02:08",過帳相關,3400,連線異常,網路斷線 請重開
ASEF1,"2025-1-27, 02:09",過帳相關,3400,連線異常,網路斷線 請重開
ASEF1,"2025-1-27, 02:30",過帳相關,2900,無法過帳,2900-K01EA 無法比對
ASEF3,"2025-1-27, 02:49",過帳相關,3910,連線異常,"5-HBQMMF-006-005
刪除2D紀錄"
ASEF1,"2025-1-27, 02:54",過帳相關,3400,連線異常,連線異常	無法比對盒號
ASEF1,"2025-1-27, 03:24",過帳相關,3400,連線異常,網路斷線 請重開
ASEF3,"2025-1-27, 03:36",過帳相關,2845,連線異常,重新連EAP
ASEF3,"2025-1-27, 03:56",自動化設備相關,3260,機台異常,
ASEF3,"2025-1-27, 04:57",自動化設備相關,3260,機台異常,
ASEF3,"2025-1-27, 05:15",自動化設備相關,3260,默停,
ASEF1,"2025-1-27, 05:47",關閉比對,4600,關整台,趕出貨效率
ASEF1,"2025-1-27, 05:54",過帳相關,3400,連線異常,網路斷線 請重開
ASEF1,"2025-1-27, 05:55",過帳相關,3418,無法過帳,網路斷線 請重開
ASEF1,"2025-1-27, 05:56",過帳相關,3400,無法過帳,網路斷線 請重開
ASEF3,"2025-1-27, 05:56",過帳相關,2845,連線異常,重新連EAP
ASEF1,"2025-1-27, 05:57",過帳相關,3400,無法過帳,網路斷線 請重開
ASEF1,"2025-1-27, 05:57",過帳相關,3400,無法過帳,網路斷線 請重開
ASEF3,"2025-1-27, 06:05",過帳相關,2845,連線異常,重新連EAP
ASEF1,"2025-1-27, 07:45",過帳相關,3410,無法過帳,"K22 / 8F 3410-A72 請協助開啟By Pass
原因：過3414 的帳"
ASEF1,"2025-1-27, 07:56",關閉比對,4805,關整台,
ASEF3,"2025-1-27, 07:58",過帳相關,3910,連線異常,請協助消除5-HBQMPF-003-007的作業紀錄  謝謝
ASEF3,"2025-1-27, 08:05",過帳相關,2845,連線異常,
ASEF3,"2025-1-27, 08:21",關閉比對,4730,關整台,壞了
ASEF3,"2025-1-27, 08:22",關閉比對,4800,關整台,壞了
ASEF3,"2025-1-27, 08:23",關閉比對,4730,關整台,無AI PROFILE
ASEF1,"2025-1-27, 09:44",過帳相關,2900,無法過帳,"煩請協助修改機台串線配置，詳如附件
( 因報案異常機台選項中無 K04E 可選 ，故先選擇K02E，但實際需要修改機台為K04E )"
