Factory,DT,Trouble_Status,Oper_No,Trouble_Item,Description
ASEF1,"2025-3-3, 00:24",過帳相關,3190,無法過帳,"aoto move out無法正常,煩請重啟EAP程式(補簽)"
ASEF1,"2025-3-3, 00:27",過帳相關,4800,無法過帳,4800 EAP issue please check it
ASEF3,"2025-3-3, 00:35",自動化設備相關,3910,卡盒卡盤,
ASEF1,"2025-3-3, 02:20",過帳相關,3190,連線異常,"loader無法取匣,煩請關閉EAP程式,待我方重啟機台後再通知開啟(補簽).  感謝您的幫忙"
ASEF3,"2025-3-3, 02:37",自動化設備相關,3670,默停,
ASEF3,"2025-3-3, 07:07",過帳相關,3910,連線異常,"請協助刪除作業記錄
5-092K3P-020-003
5-092K3P-020-004"
ASEF3,"2025-3-3, 07:50",關閉比對,4515,關整台,過帳
ASEF3,"2025-3-3, 07:50",關閉比對,4730,關整台,無AI PROFILE
ASEF3,"2025-3-3, 08:33",關閉比對,4730,關整台,4730#803  AI PROFILE爐溫上傳異常，請協助關閉AI PROFILE
ASEF3,"2025-3-3, 08:58",關閉比對,4730,關整台,4730#652  AI PROFILE爐溫上傳異常，請協助關閉AI PROFILE
ASEF3,"2025-3-3, 09:02",關閉比對,4730,關整台,4730#604  AI PROFILE爐溫上傳異常，請協助關閉AI PROFILE
ASEF3,"2025-3-3, 09:39",過帳相關,4850,無法過帳,
ASEF1,"2025-3-3, 11:08",關閉比對,4805,關整台,
ASEF3,"2025-3-3, 12:38",過帳相關,3910,無法過帳,無法 MOVE IN 請重開 3910-9003 EAP 程式，謝謝。
ASEF3,"2025-3-3, 14:04",過帳相關,3910,無法過帳,無法 MOVE IN 請重開 3910-9010 EAP 程式，謝謝。
ASEF3,"2025-3-3, 14:06",過帳相關,3910,連線異常,2D TIME OUT 請消除 5-HDQMUL-003-010 作業記錄，謝謝。
ASEF1,"2025-3-3, 14:34",過帳相關,2195,無法過帳,作業TOSA，請協助更改TOSA比對程式
ASEF3,"2025-3-3, 15:36",過帳相關,2190,無法過帳,EAP Time Out
ASEF1,"2025-3-3, 19:35",關閉比對,4805,關整台,"趕出貨效率
2923-TZ
5068-TZ
6300-TZ"
ASEF3,"2025-3-3, 19:42",自動化設備相關,4110,機台異常,M7205)出料龍門動作逾時
ASEF3,"2025-3-3, 20:01",關閉比對,4515,關整台,需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-3-3, 20:02",關閉比對,4730,關整台,AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-3-3, 20:03",關閉比對,4730,關整台,AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-3-3, 20:03",關閉比對,4800,關整台,清洗機機台EE 工程師確認後無異常，EAP 比對失敗，請協助關閉4800 EAP 比對
ASEF3,"2025-3-3, 20:04",關閉比對,4730,關整台,AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-3-3, 20:11",關閉比對,4730,關整台,AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-3-3, 20:28",自動化設備相關,3390,過壓防撞,
ASEF1,"2025-3-3, 21:01",關閉比對,4805,關整台,"趕出貨效率
406-LM
1446-LM"
ASEF3,"2025-3-3, 21:35",自動化設備相關,5100,機台異常,
ASEF1,"2025-3-3, 22:17",關閉比對,4805,關整台,趕出貨效率
ASEF3,"2025-3-3, 23:01",過帳相關,2195,無法過帳,"PORT B FAIL,_port_number_is_out_of_range"
ASEF3,"2025-3-4, 01:24",關閉比對,4730,關整台,AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-3-4, 01:32",關閉比對,4730,關整台,AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-3-4, 02:58",關閉比對,4730,關整台,4730#812  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF1,"2025-3-4, 06:37",過帳相關,3910,參數比對異常,"3910-C01S  因VPS讀取失敗無法打印產品。
條號為 :  
5-08IEZE-001-010 
5-08IEZE-001-006  
目前當站EE已確認OK，請協助消除此 2 條批號之作業紀錄，謝謝。"
ASEF3,"2025-3-4, 07:12",自動化設備相關,4110,機台異常,
ASEF3,"2025-3-4, 07:52",關閉比對,4515,關整台,過帳
ASEF3,"2025-3-4, 07:52",關閉比對,4730,關整台,無AI PROFILE
ASEF3,"2025-3-4, 08:01",關閉比對,4730,關整台,4730#803  AI PROFILE爐溫上傳異常，請協助關閉AI PROFILE
ASEF3,"2025-3-4, 08:02",關閉比對,4730,關整台,4730#820  AI PROFILE爐溫上傳異常，請協助關閉AI PROFILE
ASEF3,"2025-3-4, 08:02",關閉比對,4730,關整台,4730#604  AI PROFILE爐溫上傳異常，請協助關閉AI PROFILE
ASEF1,"2025-3-4, 08:25",關閉比對,4805,關整台,
ASEF1,"2025-3-4, 09:32",過帳相關,3910,無法過帳,"3910-C01S  因VPS讀取失敗無法打印產品。
條號為 :  
5-08IEZE-002-008
目前當站EE已確認OK，請協助消除此條批號之作業紀錄，謝謝。"
ASEF3,"2025-3-4, 12:04",過帳相關,3190,無法過帳,
ASEF1,"2025-3-4, 14:50",過帳相關,4800,無法過帳,4800斷線重開
ASEF1,"2025-3-4, 16:00",過帳相關,ALL,無法過帳,Ink 系統522LDB  SWIN無法取出  PC已改 swin code為00，要除帳
ASEF1,"2025-3-4, 17:02",自動化設備相關,2500,機台異常,2500 自動化 TEMPB 出片過久 異常
ASEF3,"2025-3-4, 17:08",過帳相關,3260,無法過帳,過帳異常
ASEF3,"2025-3-4, 17:09",過帳相關,4110,無法過帳,無法過帳
ASEF1,"2025-3-4, 17:53",過帳相關,4800,無法過帳,4800斷線重開待連線
ASEF1,"2025-3-4, 17:54",過帳相關,4800,無法過帳,4800斷線重開待連線
ASEF3,"2025-3-4, 19:53",關閉比對,4730,關整台,AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-3-4, 19:55",關閉比對,4730,關整台,
ASEF3,"2025-3-4, 19:55",關閉比對,4730,關整台,AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-3-4, 19:56",關閉比對,4515,關整台,需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-3-4, 20:01",自動化設備相關,4110,機台異常,"M7824)出料7無盤
出料B上報回覆逾時（B50)"
ASEF3,"2025-3-4, 20:01",關閉比對,4730,關整台,4730#604  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-3-4, 20:03",自動化設備相關,3910,默停,
ASEF3,"2025-3-4, 20:03",過帳相關,2845,無法過帳,
ASEF1,"2025-3-4, 20:13",關閉比對,4805,關整台,趕出貨效率
ASEF1,"2025-3-4, 20:53",關閉比對,4805,關整台,"趕出貨效率
1311-HL
5429-LM
4188-5Q"
ASEF1,"2025-3-4, 20:55",關閉比對,4805,關整台,"趕出貨效率
2923-TZ
5068-TZ
6300-TZ"
ASEF1,"2025-3-4, 21:25",關閉比對,4805,關整台,"趕出貨效率
625-M7
1365-M7"
ASEF3,"2025-3-4, 21:53",自動化設備相關,3910,默停,
ASEF3,"2025-3-4, 22:22",過帳相關,2195,無法過帳,Cancel TOSA
ASEF3,"2025-3-4, 22:54",自動化設備相關,4110,機台異常,
ASEF3,"2025-3-5, 00:30",過帳相關,2930,連線異常,2930-809 的 AOI EAP斷線
ASEF3,"2025-3-5, 01:18",自動化設備相關,3450,機台異常,3450 下層流道斷裂
ASEF1,"2025-3-5, 01:28",關閉比對,4805,關整台,趕出貨效率
ASEF3,"2025-3-5, 04:04",自動化設備相關,3800,默停,3800自動化天車默停，請協助處理
ASEF3,"2025-3-5, 04:05",自動化設備相關,4110,機台異常,4110自動化A區派貨異常，請協助確認
ASEF3,"2025-3-5, 04:40",自動化設備相關,4110,機台異常,
ASEF3,"2025-3-5, 06:25",過帳相關,3910,參數比對異常,"5-10UYUD-002-002
消除作業記錄"
ASEF3,"2025-3-5, 06:34",自動化設備相關,4110,機台異常,M7205)出料龍門動作逾時
ASEF3,"2025-3-5, 06:44",自動化設備相關,4110,機台異常,"M7205)出料龍門動作逾時
(M7824)出料7無盤"
ASEF3,"2025-3-5, 07:53",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-3-5, 07:54",過帳相關,3910,連線異常,"請協助刪除作業記錄
5-07DUAS-068-002"
ASEF3,"2025-3-5, 07:54",關閉比對,4730,關整台,4730#604  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-3-5, 07:55",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-3-5, 07:55",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
