Factory,DT,Trouble_Status,Oper_No,Trouble_Item,Description
ASEF3,"2025-6-16, 00:30",自動化設備相關,3450,機台異常,CV02 流道機故頻繁
ASEF1,"2025-6-16, 00:55",過帳相關,2195,無法過帳,NOT TOSA
ASEF3,"2025-6-16, 02:25",過帳相關,2195,連線異常,
ASEF3,"2025-6-16, 02:48",自動化設備相關,3450,機台異常,CV02-#15 機故頻繁
ASEF3,"2025-6-16, 03:45",關閉比對,4730,關整台,1、4730#602  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-16, 03:54",自動化設備相關,3260,默停,
ASEF3,"2025-6-16, 05:14",自動化設備相關,3450,機台異常,自動化3450機故
ASEF3,"2025-6-16, 05:29",關閉比對,4600,關整台,關比對
ASEF3,"2025-6-16, 05:32",過帳相關,4600,無法過帳,協助關閉 自動PROFILE
ASEF3,"2025-6-16, 06:10",自動化設備相關,4110,機台異常,入料烤盤定位未到位
ASEF3,"2025-6-16, 06:26",過帳相關,3910,無法過帳,"5-KWQMAR-011-002
5-KWQMAR-037-004
因2D逾時尚未打印，請協助消除記錄"
ASEF3,"2025-6-16, 07:02",自動化設備相關,4110,機台異常,"M7139)入料龍門夾爪動作逾時
(M7103)入料龍門過壓(X380)"
ASEF1,"2025-6-16, 07:40",自動化設備相關,2500,機台異常,A B LINE NG
ASEF3,"2025-6-16, 07:56",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-6-16, 07:56",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF1,"2025-6-16, 07:56",自動化設備相關,2715,機台異常,2715-02 NG
ASEF3,"2025-6-16, 07:57",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
