廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2026/1/4 下午 09:46:57
ASEF3,K11,7F,4730,821,關閉比對,4730#821   346L   特殊爐溫 AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE	,By批號,2026/1/4 下午 08:05:14
ASEF3,K11,6F,4730,603,關閉比對,4730#603   180L   (美光) AI PROFILE 未建檔，EE 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/4 下午 08:02:58
ASEF3,K11,8F,4730,809,關閉比對,4730#809  176L   AI PROFILE S-Q   最高溫度時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE	,關整台,2026/1/4 下午 08:02:40
ASEF3,K11,8F,4730,810,關閉比對,4730#810  436L   AI PROFILE S迴銲時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/4 下午 08:02:13
ASEF3,K11,8F,4730,812,關閉比對,4730#812   1405L  AI PROFILE  (CU) 爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/4 下午 08:01:20
ASEF3,K11,8F,4730,814,關閉比對,4730#814   1907L  MTK 爐溫 AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/4 下午 08:00:41
ASEF3,K11,7F,4730,803,關閉比對,4730#803   264L AI PROFILE S-Q-X4L  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/1/4 下午 08:00:13
ASEF3,K11,9F,4515,651,關閉比對,4515#651  需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/1/4 下午 07:59:50
ASEF3,K25,9F,4730,9007,關閉比對,,關整台,2026/1/4 下午 07:50:08
ASEF3,K25,9F,4730,9006,關閉比對,,關整台,2026/1/4 下午 07:49:25
ASEF3,K25,9F,4730,9005,關閉比對,,關整台,2026/1/4 下午 07:48:39
ASEF1,K21,8F,2500,ALL,自動化設備相關,2500流道異常 升降台異常,機台異常,2026/1/4 下午 06:52:37
ASEF1,K21,8F,2500,ALL,自動化設備相關,B LINE NG,卡盒卡盤,2026/1/4 下午 06:35:59
ASEF1,K21,5F,3418,D01,關閉比對,"貨批盒號跳掉無法move out，請協助關閉比對
",關整台,2026/1/4 下午 06:22:24
ASEF3,K25,8F,2900,809H,過帳相關,TrackOut 失敗(Fail):批號:MMQMNEB001 WAFERID蒐集站點請輸入WAFERID.(MUST KEY IN WAFERID),無法過帳,2026/1/4 下午 06:17:17
ASEF1,K21,8F,2500,ALL,自動化設備相關,A LINE NG,卡盒卡盤,2026/1/4 下午 05:27:51
ASEF3,K25,8F,2900,802H,過帳相關,TrackOut 失敗(Fail):Lot012KFWB004的狀態目前為Hold無法執行此功能，請確認。 The status of this lot 012KFWB004is Hold.You can't performance this rule.Please check.,無法過帳,2026/1/4 下午 01:47:05
