廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K11,8F,4110,ALL,自動化設備相關,Done,機台異常,2025/12/28 下午 10:39:37
ASEF3,K25,8F,2900,804H,過帳相關,WAFER ID,異常退盒,2025/12/28 下午 09:59:00
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2025/12/28 下午 08:33:17
ASEF3,K25,8F,3260,ALL,自動化設備相關,B12,機台異常,2025/12/28 下午 08:29:50
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2025/12/28 下午 07:54:45
ASEF1,K22,8F,2945,0380,關閉比對,2945-0380 為虛擬機台過帳使用，還請協助關閉比對，謝謝。,關整台,2025/12/28 下午 07:52:02
ASEF3,K11,8F,4110,ALL,自動化設備相關,出料B上報回覆逾時（B50)出料流道B CST盒號Error(讀取失敗),機台異常,2025/12/28 下午 07:49:53
ASEF3,K25,9F,4800,9001,關閉比對,,關整台,2025/12/28 下午 07:47:46
ASEF1,K21,8F,2945,0380,關閉比對,2945-0380 為虛擬機台過帳使用，還請協助關閉比對，謝謝。,關整台,2025/12/28 下午 07:46:19
ASEF3,K11,6F,4730,603,關閉比對,4730#603   338L    AI PROFILE CU 最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 下午 07:46:07
ASEF3,K25,9F,4730,9008,關閉比對,,關整台,2025/12/28 下午 07:45:45
ASEF3,K11,7F,4730,820,關閉比對,4730#820 MTK   PROFILE  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 下午 07:45:41
ASEF3,K11,7F,4730,803,關閉比對,4730#803  224L  AI PROFILE S 未建立，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 下午 07:45:25
ASEF3,K25,9F,4730,9006,關閉比對,,關整台,2025/12/28 下午 07:45:18
ASEF3,K11,7F,4730,821,關閉比對,4730#821   346L   特殊爐溫 AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 下午 07:45:07
ASEF3,K25,9F,4730,9005,關閉比對,,關整台,2025/12/28 下午 07:44:54
ASEF3,K11,8F,4800,811,關閉比對,4800#811 清洗機電腦故障，請協助關比對,關整台,2025/12/28 下午 07:44:50
ASEF3,K25,9F,4730,9004,關閉比對,,關整台,2025/12/28 下午 07:44:36
ASEF3,K11,8F,4730,811,關閉比對,4730#811   180L  美光  爐溫 AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 下午 07:44:29
ASEF3,K25,9F,4730,9001,關閉比對,,關整台,2025/12/28 下午 07:44:14
ASEF3,K11,8F,4730,812,關閉比對,4730#812   1405L  AI PROFILE  (CU) 爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 下午 07:44:08
ASEF3,K11,8F,4730,814,關閉比對,4730#814 852K MTK 爐溫 AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 下午 07:43:44
ASEF3,K11,9F,4515,651,關閉比對,4515#651  需過帳4554站點，請協助關閉防漏洗功能,關整台,2025/12/28 下午 07:43:14
ASEF1,K21,8F,2500,ALL,自動化設備相關,2500 NG,機台異常,2025/12/28 下午 02:41:13
ASEF3,K25,8F,3260,ALL,自動化設備相關,,卡盒卡盤,2025/12/28 下午 01:22:56
ASEF3,K11,8F,4800,811,關閉比對,,關整台,2025/12/28 下午 01:12:50
ASEF3,K25,8F,3260,ALL,自動化設備相關,,卡盒卡盤,2025/12/28 上午 10:04:18
ASEF3,K11,7F,4730,820,關閉比對,4730#820 MTK   PROFILE  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 上午 08:19:24
ASEF1,K22,9F,4805,B60,關閉比對,,關整台,2025/12/28 上午 08:06:01
ASEF3,K11,8F,3910,801,過帳相關,請協助刪除作業記錄 5-51UYCK-027-003,連線異常,2025/12/28 上午 07:59:34
ASEF3,K11,6F,4730,603,關閉比對,4730#603   338L    AI PROFILE CU 最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 上午 07:56:54
ASEF3,K11,7F,4730,803,關閉比對,4730#803  224L  AI PROFILE S 未建立，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 上午 07:56:37
ASEF3,K11,7F,4730,821,關閉比對,4730#821   346L   特殊爐溫 AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 上午 07:56:21
ASEF3,K11,8F,4730,811,關閉比對,4730#811   180L  美光  爐溫 AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 上午 07:56:03
ASEF3,K11,8F,4730,812,關閉比對,4730#812   1405L  AI PROFILE  (CU) 爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 上午 07:55:47
ASEF3,K11,8F,4730,814,關閉比對,4730#814 852K MTK 爐溫 AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 上午 07:55:28
ASEF3,K11,9F,4515,651,關閉比對,4515#651  需過帳4554站點，請協助關閉防漏洗功能,關整台,2025/12/28 上午 07:55:06
ASEF3,K11,8F,3910,801,過帳相關,2D Timeout 麻煩協助刪除 5-51UYCK-027-003 的作業紀錄 謝謝,連線異常,2025/12/28 上午 07:53:29
ASEF3,K25,9F,3910,9006,過帳相關,"請協助刪除作業記錄
5-522KTL-002-008",連線異常,2025/12/28 上午 07:52:41
ASEF3,K25,9F,3910,9002,過帳相關,"請協助刪除作業記錄
5-522KTL-004-008",連線異常,2025/12/28 上午 07:52:07
ASEF3,K11,8F,3910,811,過帳相關,2D Timeout 麻煩協助刪除 5-50DUMZ-012-001 的作業紀錄 謝謝,連線異常,2025/12/28 上午 07:51:24
ASEF3,K25,8F,2845,803,自動化設備相關,,卡盒卡盤,2025/12/28 上午 06:58:40
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2025/12/28 上午 05:28:56
ASEF3,K25,8F,2845,803,自動化設備相關,,卡盒卡盤,2025/12/28 上午 05:12:47
ASEF3,K11,8F,3910,812,過帳相關,"2D FAIL請刪紀錄
5-51UYVH-009-003",無法過帳,2025/12/28 上午 03:02:46
ASEF3,K25,9F,3910,9010,過帳相關,"請幫忙消除作業紀錄，謝謝
批號為:5-522K4L-003-010",連線異常,2025/12/28 上午 02:23:18
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2025/12/28 上午 01:59:01
ASEF3,K11,7F,4730,820,關閉比對,4730#820   405L    AI PROFILE  S-X4L 最高溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/28 上午 01:31:29
ASEF3,K11,8F,3910,824,過帳相關,"2D TIMEOUT, CANCEL 2D",無法過帳,2025/12/28 上午 12:16:38
ASEF3,K11,8F,3910,824,過帳相關,"2D FAIL, CANCEL 2D IN MC 5-EKQMFY-009-001",無法過帳,2025/12/27 下午 10:37:31
ASEF3,K25,9F,3910,9002,過帳相關,"請幫忙消除作業紀錄，謝謝
批號為:5-522KMG-009-008
            5-522KMG-009-009",連線異常,2025/12/27 下午 09:31:48
ASEF3,K25,8F,2845,803,自動化設備相關,,卡盒卡盤,2025/12/27 下午 08:47:09
