廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K25,8F,2845,801,自動化設備相關,,命令異常,2026/5/24 下午 10:58:32
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/5/24 下午 10:49:20
ASEF3,K11,9F,4730,815,關閉比對,4600-815    4730 虛擬量測系統緊急通知，請協助先幫忙關閉，因此機台電腦主機損壞無法開機，所以也需關閉AI PROFILE ，還請協助感謝~,關整台,2026/5/24 下午 08:53:35
ASEF3,K25,9F,4730,9005,關閉比對,,關整台,2026/5/24 下午 08:27:24
ASEF3,K25,9F,4730,9004,關閉比對,,關整台,2026/5/24 下午 08:26:49
ASEF3,K25,9F,4730,9003,關閉比對,,關整台,2026/5/24 下午 08:26:15
ASEF3,K25,9F,4730,9001,關閉比對,,關整台,2026/5/24 下午 08:25:33
ASEF3,K11,9F,4515,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/5/24 下午 08:02:46
ASEF3,K11,8F,4730,806,關閉比對,4730#806  522L   AI PROFILE  CU AI PROFILE 溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 下午 08:02:29
ASEF3,K11,8F,4800,812,關閉比對,4800#812  1405L  收料機電腦無法開機待ME更換零件，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 下午 07:56:53
ASEF3,K11,8F,4730,811,關閉比對,4730#811  180L  MICRON  AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 下午 07:52:25
ASEF3,K11,8F,4730,812,關閉比對,4730#812  1405L  CU AI PROFILE  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 下午 07:52:06
ASEF3,K11,7F,4730,820,關閉比對,4730#820  397L  MTK  AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 下午 07:51:36
ASEF3,K11,7F,4730,822,關閉比對,4730#822  224L       S AI PROFILE  回焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 下午 07:50:39
ASEF3,K11,7F,4730,805,關閉比對,4730#805   615L      S-Q AI PROFILE  爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 下午 07:50:07
ASEF3,K11,7F,4730,821,關閉比對,4730#821   346L   AI PROFILE 爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 下午 07:49:41
ASEF3,K11,7F,4730,803,關閉比對,4730#803  615L    AI PROFILE  爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 下午 07:49:21
ASEF3,K25,9F,3910,9010,過帳相關,2D TIME OUT 消除作業記錄6-202KYU-001-006,連線異常,2026/5/24 下午 07:18:49
ASEF3,K25,8F,3260,ALL,自動化設備相關,,機台異常,2026/5/24 下午 04:32:05
ASEF3,K11,8F,3910,824,過帳相關,2D TIME OUT 請消除 6-EZQMXX-005-005 作業紀錄，謝謝。,連線異常,2026/5/24 下午 04:20:10
ASEF3,K11,8F,3670,ALL,自動化設備相關,,機台異常,2026/5/24 下午 02:38:56
ASEF3,K11,8F,4730,806,關閉比對,4730#806  522L   AI PROFILE  CU AI PROFILE 溫度異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 下午 02:17:45
ASEF3,K11,7F,4730,820,關閉比對,4730#820  397L  MTK  AI PROFILE  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 下午 02:16:17
ASEF3,K11,8F,3450,ALL,自動化設備相關,3450-CV1默停,偵測檢知異常,2026/5/24 下午 02:03:49
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2026/5/24 下午 01:57:04
ASEF1,K21,5F,3910,C01S,過帳相關,"3910-C01S：
請協助消除此條號 6-21IEY3-001-002 之作業記錄，謝謝。",無法過帳,2026/5/24 下午 01:54:05
ASEF3,K11,8F,3450,318,自動化設備相關,,機台異常,2026/5/24 下午 12:04:01
ASEF3,K25,8F,3670,ALL,自動化設備相關,,機台異常,2026/5/24 上午 11:48:18
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2026/5/24 上午 11:30:33
ASEF3,K11,8F,3260,ALL,自動化設備相關,,機台異常,2026/5/24 上午 11:15:36
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2026/5/24 上午 11:13:44
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2026/5/24 上午 11:05:21
ASEF1,K21,5F,3910,C01S,過帳相關,"3910-C01S：
請協助消除此條號 6-21IEY2-001-004 之作業記錄，謝謝。",無法過帳,2026/5/24 上午 10:48:00
ASEF1,K21,5F,3910,C01S,過帳相關,"3910-C01S：
請協助消除此條號 6-21IEY1-001-007 之作業記錄，謝謝。",無法過帳,2026/5/24 上午 10:22:30
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2026/5/24 上午 09:55:36
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2026/5/24 上午 09:36:48
ASEF3,K25,8F,3260,ALL,自動化設備相關,,機台異常,2026/5/24 上午 09:18:35
ASEF1,K21,5F,3910,C01S,過帳相關,"Hello CIM：
3910-C01S 
請協助消除批號之作業紀錄，批號為
6-21IEY0-001-008
謝謝。",無法過帳,2026/5/24 上午 09:00:42
ASEF3,K11,8F,4800,812,關閉比對,"4800#812  1405L  收料機電腦無法開機待ME更換零件，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
",關整台,2026/5/24 上午 08:57:31
ASEF3,K11,8F,3260,A21,自動化設備相關,,機台異常,2026/5/24 上午 08:45:36
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2026/5/24 上午 08:45:32
ASEF3,K25,8F,3260,ALL,自動化設備相關,,機台異常,2026/5/24 上午 07:58:32
ASEF3,K11,9F,4515,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/5/24 上午 07:56:38
ASEF3,K11,8F,4730,811,關閉比對,4730#811  207L  CU  AI PROFILE  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 上午 07:56:19
ASEF3,K11,8F,4730,812,關閉比對,4730#812  1405L  CU AI PROFILE  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 上午 07:56:02
ASEF3,K11,7F,4730,822,關閉比對,4730#822  224L       S AI PROFILE  回焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 上午 07:55:46
ASEF3,K11,7F,4730,805,關閉比對,4730#805   615L      S-Q AI PROFILE  爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 上午 07:55:30
ASEF3,K11,7F,4730,821,關閉比對,4730#821   346L   AI PROFILE 爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 上午 07:55:06
ASEF3,K11,7F,4730,803,關閉比對,4730#803  615L    AI PROFILE  爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 上午 07:54:48
ASEF3,K11,6F,4730,607,關閉比對,4730#607  200L  S-Q AI PROFILE  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 上午 07:54:02
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2026/5/24 上午 07:34:16
ASEF3,K25,9F,4730,9005,關閉比對,AI PROFILE  爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 上午 06:39:39
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/5/24 上午 04:02:52
ASEF3,K25,8F,2845,801,自動化設備相關,,機台異常,2026/5/24 上午 04:01:32
ASEF3,K25,9F,4730,9004,關閉比對,AI PROFILE  爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/24 上午 02:03:31
ASEF1,K21,5F,3910,C01S,自動化設備相關,"Hello CIM：
3910-C01S 
請協助消除批號之作業紀錄，批號為
6-21IEXZ-001-006
謝謝。",機台異常,2026/5/24 上午 01:58:37
ASEF1,K21,5F,3910,C01S,自動化設備相關,"Hello CIM：
3910-C01S 請清除此2條作業記錄 
6-21IEXY-001-003",條碼讀取異常,2026/5/24 上午 01:04:36
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/5/24 上午 12:55:14
ASEF3,K11,8F,3670,828,自動化設備相關,,默停,2026/5/23 下午 11:52:09
ASEF3,K11,8F,3670,809,自動化設備相關,,默停,2026/5/23 下午 11:51:26
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/5/23 下午 11:35:52
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2026/5/23 下午 11:34:12
ASEF3,K25,9F,3910,9005,過帳相關,"請幫忙消除作業記錄
批號為:6-212K3C-021-005",連線異常,2026/5/23 下午 11:17:45
ASEF3,K25,8F,2845,801,自動化設備相關,,命令異常,2026/5/23 下午 09:29:44
ASEF1,K21,5F,3910,C01S,自動化設備相關,"Hello CIM：
3910-C01S 
請協助消除批號之作業紀錄，批號為
6-21IEXX-001-003
謝謝。",機台異常,2026/5/23 下午 09:26:18
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/5/23 下午 09:22:23
ASEF1,K21,5F,3910,C01S,自動化設備相關,"Hello CIM：
3910-C01S 
請協助消除批號之作業紀錄，批號為
6-21IEXX-001-003
謝謝。",機台異常,2026/5/23 下午 09:18:40
ASEF3,K25,8F,2845,801,自動化設備相關,,命令異常,2026/5/23 下午 08:58:21
ASEF3,K25,8F,2845,801,自動化設備相關,,命令異常,2026/5/23 下午 08:50:15
ASEF3,K25,8F,2890,802,自動化設備相關,,卡盒卡盤,2026/5/23 下午 08:42:01
ASEF3,K25,9F,4730,9001,過帳相關,"4730-9001、4730-9005、4730-9007、4730-9008
AI PROFILE  爐溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE",參數比對異常,2026/5/23 下午 08:17:55
ASEF3,K11,9F,4515,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/5/23 下午 07:45:55
ASEF3,K11,8F,4730,811,關閉比對,4730#811  207L  CU  AI PROFILE  迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/23 下午 07:45:40
