Factory,DT,Trouble_Status,Oper_No,Trouble_Item,Description
ASEF3,"2025-5-26, 00:34",自動化設備相關,3450,機台異常,
ASEF3,"2025-5-26, 00:34",自動化設備相關,3260,機台異常,
ASEF3,"2025-5-26, 03:03",自動化設備相關,4110,機台異常,
ASEF3,"2025-5-26, 03:42",自動化設備相關,4110,機台異常,
ASEF3,"2025-5-26, 04:54",自動化設備相關,3450,機台異常,
ASEF3,"2025-5-26, 05:11",自動化設備相關,3450,機台異常,
ASEF3,"2025-5-26, 05:12",自動化設備相關,3450,機台異常,
ASEF3,"2025-5-26, 05:12",自動化設備相關,3450,機台異常,
ASEF3,"2025-5-26, 06:57",自動化設備相關,4110,機台異常,
ASEF1,"2025-5-26, 07:59",自動化設備相關,2500,機台異常,
ASEF3,"2025-5-26, 08:02",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-5-26, 08:03",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 08:03",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 08:03",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 08:04",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 08:04",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 08:04",關閉比對,4730,關整台,4730#805 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 08:05",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 08:05",關閉比對,4730,關整台,4730#820 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF1,"2025-5-26, 08:12",自動化設備相關,2500,卡盒卡盤,NG
ASEF5,"2025-5-26, 08:27",關閉比對,4805,關整台,
ASEF1,"2025-5-26, 08:47",自動化設備相關,2500,機台異常,AG NG
ASEF1,"2025-5-26, 08:48",過帳相關,2715,無法過帳,NG
ASEF1,"2025-5-26, 08:53",關閉比對,4805,關整台,
ASEF3,"2025-5-26, 09:21",過帳相關,3910,連線異常,"請協助刪除作業記錄
5-HTQMHJ-003-006"
ASEF3,"2025-5-26, 09:56",過帳相關,3910,連線異常,"請協助刪除作業記錄
5-222K40-012-003"
ASEF1,"2025-5-26, 10:32",過帳相關,2195,無法過帳,"作業TOSA , 請協助切換"
ASEF1,"2025-5-26, 10:48",自動化設備相關,2715,機台異常,
ASEF1,"2025-5-26, 12:00",自動化設備相關,2715,過壓防撞,ng
ASEF1,"2025-5-26, 12:09",自動化設備相關,2500,機台異常,ag  ng
ASEF3,"2025-5-26, 12:16",過帳相關,3910,連線異常,"請協助刪除作業記錄
5-222K3Z-026-007
5-222K3Z-026-009"
ASEF1,"2025-5-26, 12:41",自動化設備相關,2845,默停,
ASEF1,"2025-5-26, 13:05",自動化設備相關,2715,過壓防撞,過壓
ASEF1,"2025-5-26, 18:09",自動化設備相關,2845,默停,機器手臂默停
ASEF1,"2025-5-26, 18:27",自動化設備相關,2845,卡盒卡盤,
ASEF3,"2025-5-26, 19:58",自動化設備相關,3260,機台異常,
ASEF3,"2025-5-26, 19:59",自動化設備相關,3260,默停,
ASEF3,"2025-5-26, 20:25",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-5-26, 20:26",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 20:26",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 20:26",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 20:27",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 20:27",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-26, 20:28",關閉比對,4730,關整台,4730#820 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF1,"2025-5-26, 21:30",過帳相關,2900,無法過帳,煩請協助將 2895-A62F / 2900-62F/A62FA  / 2930-A62F 更改為ULA機台
ASEF3,"2025-5-26, 21:33",過帳相關,2195,無法過帳,OPEN TOSA
ASEF3,"2025-5-26, 23:25",自動化設備相關,3400,卡盒卡盤,Buffer區空盒異常
ASEF3,"2025-5-27, 02:26",過帳相關,2195,無法過帳,CLOSE TOSA
ASEF3,"2025-5-27, 04:03",過帳相關,3910,連線異常,2D TIME OUT，請消除記錄：5-DNQMAT-015-001、5-DNQMAT-015-004
ASEF3,"2025-5-27, 04:20",過帳相關,3910,連線異常,2D TIME OUT，協助清除雷射作業紀錄5-212KH7-010-004&5-212KH7-010-005
ASEF1,"2025-5-27, 04:56",過帳相關,2190,無法過帳,PORT A OFFLINE
ASEF3,"2025-5-27, 07:30",自動化設備相關,3260,機台異常,
ASEF3,"2025-5-27, 07:50",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-5-27, 07:51",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 07:51",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 07:51",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 07:52",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 07:52",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 07:53",關閉比對,4730,關整台,4730#820 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 07:53",關閉比對,4730,關整台,4730#818 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF1,"2025-5-27, 07:53",自動化設備相關,2500,機台異常,A B LINE NG
ASEF3,"2025-5-27, 07:56",關閉比對,4730,關整台,4730#652  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF1,"2025-5-27, 08:01",關閉比對,4805,關整台,
ASEF1,"2025-5-27, 08:24",自動化設備相關,2715,機台異常,271-A02 NG
ASEF3,"2025-5-27, 08:59",自動化程式相關,2900,編號更改,"駐廠通報筆電電腦硬碟壽命過低，需更換筆電，請協助將原2900#K54H EAP資料備存，更換筆電後協助安裝EAP
CT4#12256"
ASEF1,"2025-5-27, 09:47",過帳相關,2845,連線異常,
ASEF3,"2025-5-27, 09:51",過帳相關,2900,無法過帳,"EAP電腦需做更換,已備好新電腦替換上去待CIM人員做設定過帳,謝謝~!"
ASEF1,"2025-5-27, 09:52",自動化設備相關,2715,機台異常,2715-02 NG
ASEF1,"2025-5-27, 11:12",過帳相關,2195,無法過帳,請改TOSA作業...謝謝
ASEF1,"2025-5-27, 11:52",自動化設備相關,2715,機台異常,2715-A03 NG
ASEF1,"2025-5-27, 11:53",自動化設備相關,2500,機台異常,B LINE NG
ASEF1,"2025-5-27, 12:01",過帳相關,2770,連線異常,K21-9F-2770 烤箱連線全部中斷無法入烘，請CIM團隊盡速幫忙確認斷線原因並修復，感謝。
ASEF3,"2025-5-27, 12:04",過帳相關,2900,參數比對異常,平台比對系統亂碼
ASEF3,"2025-5-27, 12:04",過帳相關,2900,參數比對異常,平台比對系統亂碼
ASEF1,"2025-5-27, 12:22",自動化設備相關,2500,機台異常,A LINE NG
ASEF1,"2025-5-27, 12:51",過帳相關,2195,無法過帳,"作業TOSA, 請協助切換"
ASEF1,"2025-5-27, 13:24",自動化設備相關,2500,機台異常,A LINE NG
ASEF1,"2025-5-27, 16:51",自動化設備相關,2500,機台異常,A LINE NG
ASEF1,"2025-5-27, 16:56",自動化設備相關,2845,機台異常,2845-A03 機台異常
ASEF1,"2025-5-27, 17:08",自動化設備相關,2500,卡盒卡盤,B LINE NG
ASEF1,"2025-5-27, 17:38",自動化設備相關,2500,機台異常,"A INE NG 
2500儲格異常"
ASEF3,"2025-5-27, 20:06",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-5-27, 20:06",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 20:06",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 20:07",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 20:07",關閉比對,4730,關整台,4730#811  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 20:07",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 20:08",關閉比對,4730,關整台,4730#820 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 20:08",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 20:09",關閉比對,4730,關整台,4730#818 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-27, 21:44",自動化設備相關,4110,默停,
ASEF3,"2025-5-27, 21:57",自動化設備相關,3390,偵測檢知異常,
ASEF3,"2025-5-27, 22:27",過帳相關,3910,連線異常,2D TIME OUT，協助清除雷射作業紀錄5-202KDM-001-006&5-202KDM-001-007
ASEF3,"2025-5-27, 22:55",過帳相關,3910,無法過帳,讀取2D後適逢機台跳電，請協助刪除批號5-20NFG2-030-004的作業記錄，謝謝
ASEF3,"2025-5-27, 23:54",過帳相關,3910,連線異常,"請協助刪除作業記錄
5-GSQMG9-005-002"
ASEF3,"2025-5-28, 02:20",關閉比對,4730,關整台,4730#603 AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-28, 02:21",關閉比對,4730,關整台,4730#603 AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-28, 04:24",自動化設備相關,3450,機台異常,CV01機故
ASEF1,"2025-5-28, 07:41",自動化設備相關,2500,機台異常,A B LINE NG
ASEF3,"2025-5-28, 07:42",自動化設備相關,3260,機台異常,
ASEF3,"2025-5-28, 07:55",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-5-28, 07:55",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-28, 07:56",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-28, 07:56",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-28, 07:56",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-28, 07:57",關閉比對,4730,關整台,4730#821 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-28, 07:57",關閉比對,4730,關整台,4730#818 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-5-28, 07:57",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
