廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K25,8F,2845,803,自動化設備相關,,卡盒卡盤,2025/12/7 下午 10:27:30
ASEF3,K11,8F,3910,825,過帳相關,無法MOVE IN請重開EAP,無法過帳,2025/12/7 下午 09:55:57
ASEF3,K11,7F,4730,803,關閉比對,4730#803  264L S-Q    AI PROFILE 未建立  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 下午 08:15:16
ASEF3,K11,8F,4730,812,關閉比對,4730#812   1310L  AI PROFILE 迴焊時間異常，EE需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 下午 08:13:12
ASEF3,K11,6F,4730,652,關閉比對,4730#652  394L   AI PROFILE (S) 迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 下午 08:09:01
ASEF3,K11,6F,4730,607,關閉比對,4730#607  200L  AI PROFILE (S.Q) 升溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 下午 08:08:42
ASEF3,K11,6F,4730,601,關閉比對,4730#601   266L   (美光)AI PROFILE 無建檔，EE需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE	,關整台,2025/12/7 下午 08:08:13
ASEF3,K11,6F,4730,602,關閉比對,4730#602  499L   AI PROFILE (S) 迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 下午 08:07:52
ASEF3,K11,9F,4515,651,關閉比對,4515#651  需過帳4554站點，請協助關閉防漏洗功能,關整台,2025/12/7 下午 08:07:31
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2025/12/7 下午 07:39:12
ASEF1,K21,8F,2500,ALL,自動化設備相關,A LINE NG,機台異常,2025/12/7 下午 07:01:40
ASEF1,K21,5F,3410,D01,關閉比對,機台斷線無法move in，請協助關閉比對,關整台,2025/12/7 下午 06:34:35
ASEF1,K21,8F,2500,ALL,自動化設備相關,A LINE NG,機台異常,2025/12/7 下午 04:20:30
ASEF3,K25,8F,2900,813F,過帳相關,TrackOut 失敗(Fail):批號:492KKZB002 WAFERID蒐集站點請輸入WAFERID.(MUST KEY IN WAFERID),無法過帳,2025/12/7 下午 03:21:49
ASEF1,K21,5F,3410,D01,關閉比對,機台斷線貨批無法Move out，需求整爐關比對,關整台,2025/12/7 下午 02:56:53
ASEF1,K21,8F,2500,ALL,自動化設備相關,A LINE NG,機台異常,2025/12/7 下午 02:52:33
ASEF1,K21,8F,2500,ALL,自動化設備相關,A LINE NG,機台異常,2025/12/7 下午 01:48:37
ASEF3,K11,8F,3670,826,自動化設備相關,夾爪汽缸動作異常,偵測檢知異常,2025/12/7 下午 01:47:40
ASEF1,K21,8F,2500,ALL,自動化設備相關,a line ng,機台異常,2025/12/7 下午 01:43:07
ASEF1,K21,8F,2715,A03,自動化設備相關,2715 A03 NG,機台異常,2025/12/7 下午 12:38:46
ASEF3,K25,8F,3190,802,自動化設備相關,手臂夾貨移動過程異常,過壓防撞,2025/12/7 上午 11:46:16
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2025/12/7 上午 09:32:00
ASEF1,K21,8F,2500,ALL,自動化設備相關,B LINE NG,卡盒卡盤,2025/12/7 上午 09:21:18
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2025/12/7 上午 08:20:26
ASEF3,K11,7F,4730,803,關閉比對,4730#803  264L S-Q    AI PROFILE 未建立  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 上午 07:50:04
ASEF3,K11,7F,4730,820,關閉比對,4730#820  397L    MTK  AI PROFILE  ，需求關閉比對(待工程師校正)，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 上午 07:49:47
ASEF3,K11,8F,4730,812,關閉比對,4730#812   1310L  AI PROFILE 迴焊時間異常，EE需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 上午 07:49:28
ASEF3,K11,6F,4730,652,關閉比對,4730#652  394L   AI PROFILE (S) 迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 上午 07:49:10
ASEF3,K11,6F,4730,607,關閉比對,4730#607  200L  AI PROFILE (S.Q) 升溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 上午 07:48:53
ASEF3,K11,6F,4730,601,關閉比對,4730#601   266L   (美光)AI PROFILE 無建檔，EE需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 上午 07:48:35
ASEF3,K11,6F,4730,602,關閉比對,4730#602  499L   AI PROFILE (S) 迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/7 上午 07:48:12
ASEF3,K11,9F,4515,651,關閉比對,4515#651  需過帳4554站點，請協助關閉防漏洗功能,關整台,2025/12/7 上午 07:47:50
ASEF1,K21,8F,2715,A03,自動化設備相關,NG,過壓防撞,2025/12/7 上午 07:34:58
ASEF3,K11,8F,3260,A09,自動化設備相關,,機台異常,2025/12/7 上午 07:12:50
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2025/12/7 上午 05:52:09
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2025/12/7 上午 04:06:30
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2025/12/7 上午 02:42:07
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2025/12/7 上午 01:36:00
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2025/12/7 上午 01:08:00
ASEF3,K11,8F,3910,824,過帳相關,"無法MOVE IN，請重開EAP測試
",無法過帳,2025/12/6 下午 11:48:53
ASEF3,K11,6F,4730,652,關閉比對,4730#652  394L   AI PROFILE (S) 迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/6 下午 11:09:30
ASEF3,K25,8F,2890,803,自動化設備相關,,卡盒卡盤,2025/12/6 下午 09:38:39
ASEF3,K11,7F,4730,803,關閉比對,4730#803  264L S-Q    AI PROFILE 未建立  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/6 下午 07:49:29
ASEF3,K11,7F,4730,820,關閉比對,4730#820  397L    MTK  AI PROFILE  ，需求關閉比對(待工程師校正)，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/6 下午 07:49:13
ASEF3,K11,6F,4730,607,關閉比對,4730#607  200L  AI PROFILE (S.Q) 升溫異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/6 下午 07:48:45
ASEF3,K11,6F,4730,601,關閉比對,4730#601   266L   (美光)AI PROFILE 無建檔，EE需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE	,關整台,2025/12/6 下午 07:48:27
ASEF3,K11,6F,4730,602,關閉比對,4730#602  499L   AI PROFILE (S) 迴焊時間異常，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/6 下午 07:48:09
ASEF3,K11,9F,4515,651,關閉比對,4515#651  需過帳4554站點，請協助關閉防漏洗功能,關整台,2025/12/6 下午 07:47:51
ASEF3,K11,8F,4110,ALL,自動化設備相關,"(M7139)入料龍門夾爪動作逾時
(M7103)入料龍門過壓(X380)
(M7102)入料龍門Z軸極限遮蔽",卡盒卡盤,2025/12/6 下午 07:25:09
ASEF3,K11,8F,4110,ALL,自動化設備相關,出料B上報回覆逾時（B50)出料流道B CST盒號Error(讀取失敗),條碼讀取異常,2025/12/6 下午 07:06:26
ASEF3,K11,8F,3260,ALL,自動化設備相關,,機台異常,2025/12/6 下午 06:18:47
ASEF1,K21,8F,2500,ALL,自動化設備相關,2500出貨流道卡貨,卡盒卡盤,2025/12/6 下午 05:46:29
ASEF3,K11,8F,4110,A04,自動化設備相關,"(M7139)入料龍門夾爪動作逾時
(M7103)入料龍門過壓(X380)
(M7102)入料龍門Z軸極限遮蔽",卡盒卡盤,2025/12/6 下午 05:28:07
ASEF3,K25,8F,3190,802,自動化設備相關,天車命令異常塞車。,命令異常,2025/12/6 下午 04:58:19
ASEF3,K25,8F,3190,802,自動化設備相關,天車命令異常塞車。,命令異常,2025/12/6 下午 03:59:03
ASEF3,K25,8F,3190,802,自動化設備相關,天車命令異常塞車。,命令異常,2025/12/6 下午 03:32:57
ASEF3,K11,8F,4110,ALL,自動化設備相關,出料B上報回覆逾時（B50)出料流道B CST盒號Error(讀取失敗),條碼讀取異常,2025/12/6 下午 03:24:27
ASEF3,K11,8F,4110,A11,自動化設備相關,台車STAGE21滿盤勾盤汽缸異常,卡盒卡盤,2025/12/6 下午 03:23:59
ASEF3,K25,8F,3670,ALL,自動化設備相關,,機台異常,2025/12/6 下午 03:16:37
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2025/12/6 下午 03:16:17
ASEF1,K21,8F,2500,ALL,自動化設備相關,B LINE 卡盤,卡盒卡盤,2025/12/6 下午 02:51:04
ASEF1,K21,8F,2500,ALL,自動化設備相關,B LINE NG,機台異常,2025/12/6 下午 02:36:44
ASEF3,K11,8F,4110,ALL,自動化設備相關,出料B上報回覆逾時（B50)出料流道B CST盒號Error(讀取失敗),條碼讀取異常,2025/12/6 下午 02:14:42
ASEF3,K25,8F,3190,802,自動化設備相關,天車指令異常塞車。,命令異常,2025/12/6 下午 01:57:57
ASEF3,K25,8F,3670,ALL,自動化設備相關,,機台異常,2025/12/6 下午 01:13:25
ASEF1,K21,8F,2500,ALL,自動化設備相關,2500儲格 NG,機台異常,2025/12/6 下午 12:04:46
ASEF3,K11,8F,3450,ALL,自動化設備相關,,機台異常,2025/12/6 下午 12:02:22
ASEF3,K25,8F,3260,ALL,自動化設備相關,,機台異常,2025/12/6 上午 11:52:49
ASEF3,K11,8F,4110,ALL,自動化設備相關,,默停,2025/12/6 上午 10:55:19
ASEF3,K25,9F,3910,9006,過帳相關,"請協助刪除作業記錄
5-49UYZ5-012-008
5-49UYZ5-012-009",連線異常,2025/12/6 上午 10:17:47
ASEF3,K11,8F,4730,810,關閉比對,4730#810   377L  AI PROFILE 迴焊時間異常，EE需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/12/6 上午 10:08:52
ASEF3,K25,9F,5100,016,自動化設備相關,,偵測檢知異常,2025/12/6 上午 10:03:32
ASEF1,K21,8F,ALL,ALL,自動化設備相關,儲格ZIP B異常,機台異常,2025/12/6 上午 09:23:21
ASEF3,K25,8F,4110,ALL,自動化設備相關,,機台異常,2025/12/6 上午 09:19:47
