廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K25,8F,2400,816,過帳相關,BLACK BOX NG,無法過帳,2025/11/2 下午 11:59:26
ASEF3,K25,8F,2395,808,過帳相關,"ASEF3-2395-808 CA00651BK EIG EDQMR9W002 2395 K02984 LogEAP_Error 機台作業總片數與MES總片數比對成功，Machine_QTY：[13]，MES_QTY：[13] 
2 ASEF3-2395-808 CA00651BK EIG EDQMR9W001 2395 K02984 LogEAP_Error 機台作業總片數與MES總片數比對成功，Machine_QTY：[13]，MES_QTY：[13] 
 
 
 . 

處理中,請稍候..",無法過帳,2025/11/2 下午 11:54:23
ASEF3,K25,8F,2400,803,過帳相關,"ASEF3-2400-803 CA01864BK EIG 442KJE 2400 K14153 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[9]，MES_QTY：[18] 
2 ASEF3-2400-803 CA01864BK EIG 442KJD 2400 K14153 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[9]，MES_QTY：[18] 
",無法過帳,2025/11/2 下午 11:52:01
ASEF3,K25,8F,2400,802,過帳相關,ASEF3-2400-802 CA00875BK EIG MGQMS6 2400 K14153 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[10]，MES_QTY：[7] ,無法過帳,2025/11/2 下午 11:48:54
ASEF3,K25,8F,3260,ALL,自動化設備相關,,卡盒卡盤,2025/11/2 下午 11:06:25
ASEF3,K25,8F,2400,807,過帳相關,BLACK BOX NG,無法過帳,2025/11/2 下午 10:58:40
ASEF3,K22,8F,2400,810,過帳相關,"ASEF3-2400-810 CA02751BK EIG MGQMS5 2400 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[10]，MES_QTY：[13] 
2 ASEF3-2400-810 CA02751BK EIG MGQMS4 2400 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[10]，MES_QTY：[13] 
",無法過帳,2025/11/2 下午 10:30:13
ASEF3,K25,8F,2400,801,過帳相關,"ASEF3-2400-801 CA01070BK EIG 442KHY 2400 K14153 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16] 
2 ASEF3-2400-801 CA01070BK EIG 442KHX 2400 K14153 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16] 
 
",無法過帳,2025/11/2 下午 10:25:26
ASEF3,K25,8F,2395,809,過帳相關,"1 ASEF3-2395-809 CA03165BK EIG 442KHS 2395 K02984 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16] 
2 ASEF3-2395-809 CA03165BK EIG 442KHR 2395 K02984 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16] 
 
",無法過帳,2025/11/2 下午 10:19:56
ASEF3,K25,8F,2395,810,過帳相關,"1 ASEF3-2395-810 CA03301BK EIG 442KJA 2395 K02984 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16] 
2 ASEF3-2395-810 CA03301BK EIG 442KHZ 2395 K02984 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16] 
 
 
 . 

處理中,請稍候..",無法過帳,2025/11/2 下午 10:16:42
ASEF3,K25,8F,2395,803,過帳相關,小黑盒NG,無法過帳,2025/11/2 下午 10:09:09
ASEF3,K25,8F,2890,802,自動化設備相關,,卡盒卡盤,2025/11/2 下午 09:44:36
ASEF3,K25,8F,2400,815,過帳相關,BLACK BOX NG,無法過帳,2025/11/2 下午 09:31:19
ASEF3,K25,8F,2400,813,過帳相關,BLACK BOX NG,無法過帳,2025/11/2 下午 08:59:30
ASEF3,K25,8F,2400,813,過帳相關,BLACK BOX NG,無法過帳,2025/11/2 下午 08:57:58
ASEF3,K25,8F,2400,807,過帳相關,BLACK BOX NG,無法過帳,2025/11/2 下午 08:50:34
ASEF1,K22,8F,2930,A55F,關閉比對,QM 2636L 81QM15/16 因工程實驗需求無法過帳，需請協助關閉 2930-A55F 參數比對,關整台,2025/11/2 下午 08:37:59
ASEF3,K25,8F,2395,809,過帳相關,"1 ASEF3-2395-809 CA02346BK EIG 442KJM 2395 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[9]，MES_QTY：[18] 
2 ASEF3-2395-809 CA02346BK EIG 442KJL 2395 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[9]，MES_QTY：[18] 
 
",無法過帳,2025/11/2 下午 08:08:18
ASEF3,K25,8F,2400,801,過帳相關,"ASEF3-2400-801 CA00659BK EIG 442KJW 2400 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[9]，MES_QTY：[18] 
2 ASEF3-2400-801 CA00659BK EIG 442KJV 2400 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[9]，MES_QTY：[18] 
",無法過帳,2025/11/2 下午 08:02:34
ASEF3,K25,8F,2395,812,過帳相關,"1 ASEF3-2395-812 CA01864BK EIG 442KJE 2395 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[9]，MES_QTY：[18] 
2 ASEF3-2395-812 CA01864BK EIG 442KJD 2395 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[9]，MES_QTY：[18] 
 
 
 . 

處理中,請稍候..",無法過帳,2025/11/2 下午 07:59:50
ASEF3,K25,8F,2395,808,過帳相關,ASEF3-2395-808 CA00875BK EIG MGQMS6 2395 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[10]，MES_QTY：[7] ,無法過帳,2025/11/2 下午 07:55:20
ASEF3,K25,8F,2400,815,過帳相關,BLACK BOX NG,無法過帳,2025/11/2 下午 07:55:06
ASEF3,K25,8F,2395,808,過帳相關,小黑盒NG,無法過帳,2025/11/2 下午 07:53:41
ASEF3,K25,8F,3670,ALL,自動化設備相關,,機台異常,2025/11/2 下午 07:52:23
ASEF1,K21,8F,2945,0380,關閉比對,"2945-0380 為虛擬機台過帳使用，還請協助關閉比對，謝謝。
",關整台,2025/11/2 下午 07:49:48
ASEF3,K25,8F,2400,803,過帳相關,"ASEF3-2400-803 CA02932BK EIG 442KHU 2400 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16] 
2 ASEF3-2400-803 CA02932BK EIG 442KHT 2400 K06598 LogEAP_Error 機台作業總片數與MES總片數比對失敗，不進行Move Out，Machine_QTY：[8]，MES_QTY：[16] 
 
 
 . 

處理中,請稍候..",無法過帳,2025/11/2 下午 07:46:42
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2025/11/2 下午 07:42:15
ASEF3,K25,9F,4730,9007,關閉比對,,關整台,2025/11/2 下午 07:37:22
ASEF3,K25,9F,4730,9003,關閉比對,,關整台,2025/11/2 下午 07:36:39
ASEF3,K25,9F,4730,9002,關閉比對,,關整台,2025/11/2 下午 07:36:09
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2025/11/2 上午 06:23:49
ASEF3,K11,6F,4730,652,關閉比對,4730-652    MTK程式無建檔  AI PROFILE  ，需求關閉比對(待工程師新增)，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/11/2 上午 05:52:08
ASEF3,K11,8F,4507,ALL,自動化設備相關,,卡盒卡盤,2025/11/2 上午 04:57:00
ASEF3,K25,8F,2900,813F,過帳相關,KEY IN WAFER ID,異常退盒,2025/11/2 上午 02:27:52
ASEF3,K11,8F,4110,ALL,自動化設備相關,,機台異常,2025/11/2 上午 01:49:59
ASEF3,K11,8F,3670,811,自動化設備相關,,默停,2025/11/2 上午 01:46:01
ASEF3,K11,6F,3260,A607,自動化設備相關,,卡盒卡盤,2025/11/1 下午 11:45:24
ASEF3,K25,8F,4110,ALL,自動化設備相關,,卡盒卡盤,2025/11/1 下午 11:30:06
ASEF3,K25,8F,3800,08,自動化設備相關,,卡盒卡盤,2025/11/1 下午 10:50:34
ASEF3,K25,8F,2890,801,自動化設備相關,,偵測檢知異常,2025/11/1 下午 10:30:55
ASEF3,K11,8F,3260,ALL,自動化設備相關,入料流道機故,機台異常,2025/11/1 下午 08:44:02
ASEF3,K11,8F,3450,ALL,自動化設備相關,,機台異常,2025/11/1 下午 08:16:38
ASEF3,K11,8F,3670,815,過帳相關,,連線異常,2025/11/1 下午 08:16:03
ASEF3,K11,8F,3670,824,過帳相關,,無法過帳,2025/11/1 下午 08:15:33
ASEF3,K11,8F,3670,816,過帳相關,,無法過帳,2025/11/1 下午 08:15:00
ASEF3,K11,9F,4730,817,關閉比對,4730-817     MTK程式無建檔  AI PROFILE  ，需求關閉比對(待工程師新增)，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/11/1 下午 07:54:14
ASEF3,K11,7F,4730,821,關閉比對,4730#821  346L  25JSI無建檔  AI PROFILE  ，需求關閉比對(待工程師新增)，手動上傳爐溫，請協助關閉AI PROFILE	,關整台,2025/11/1 下午 07:53:50
ASEF3,K11,7F,4730,818,關閉比對,4730#818  264 AI PROFILE 迴銲時間異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE	,關整台,2025/11/1 下午 07:53:30
ASEF3,K11,6F,4730,603,關閉比對,4730#603  266L 美光  AI PROFILE  ，需求關閉比對(待工程師校正)，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/11/1 下午 07:53:10
ASEF3,K11,7F,4730,803,關閉比對,4730#803  64L  AI PROFILE迴焊時間過久 ，EE需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE	,關整台,2025/11/1 下午 07:52:50
ASEF3,K11,9F,4730,816,關閉比對,4730#816  無安裝 AI PROFILE，系統有卡 EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/11/1 下午 07:52:32
ASEF3,K11,9F,4515,651,關閉比對,4515#651  需過帳4554站點，請協助關閉防漏洗功能,關整台,2025/11/1 下午 07:52:15
ASEF3,K25,8F,3670,ALL,自動化設備相關,alarm,機台異常,2025/11/1 下午 07:02:29
ASEF3,K25,8F,4110,ALL,自動化設備相關,alarm,機台異常,2025/11/1 下午 07:02:08
ASEF1,K22,9F,4600,B22,過帳相關,"協助開通“MES Center""全部權限",無法過帳,2025/11/1 下午 06:55:59
ASEF3,K25,8F,3670,ALL,自動化設備相關,alarm,機台異常,2025/11/1 下午 06:42:38
ASEF3,K25,8F,3260,ALL,自動化設備相關,alarm,機台異常,2025/11/1 下午 06:42:20
ASEF1,K21,8F,2500,ALL,自動化設備相關,B LINE NG,機台異常,2025/11/1 下午 06:36:21
ASEF3,K25,8F,2195,805,過帳相關,品質活動 CASS ID,無法過帳,2025/11/1 下午 06:08:05
ASEF3,K25,8F,2900,817H,過帳相關,TrackOut 失敗(Fail):LotFBQMMBB001的狀態目前為Hold無法執行此功能，請確認。 The status of this lot FBQMMBB001is Hold.You can't performance this rule.Please check.,無法過帳,2025/11/1 下午 05:51:01
ASEF3,K25,8F,2900,808H,過帳相關,TrackOut 失敗(Fail):批號:MFQMVFB001 WAFERID蒐集站點請輸入WAFERID.(MUST KEY IN WAFERID),無法過帳,2025/11/1 下午 05:13:51
ASEF3,K11,8F,3450,ALL,自動化設備相關,NG,機台異常,2025/11/1 下午 04:55:29
ASEF3,K25,8F,4110,ALL,自動化設備相關,alarm,機台異常,2025/11/1 下午 04:09:59
ASEF3,K25,8F,4110,ALL,自動化設備相關,alarm,機台異常,2025/11/1 下午 03:57:28
ASEF1,K21,8F,2500,ALL,自動化設備相關,流道異常,機台異常,2025/11/1 下午 03:37:23
ASEF3,K25,8F,4110,ALL,自動化設備相關,NG,機台異常,2025/11/1 下午 02:28:12
ASEF3,K25,8F,4110,ALL,自動化設備相關,alarm,機台異常,2025/11/1 下午 01:59:36
ASEF3,K25,8F,2900,801H,過帳相關,TrackOut 失敗(Fail):LotEDQMKQB004的狀態目前為Hold無法執行此功能，請確認。 The status of this lot EDQMKQB004is Hold.You can't performance this rule.Please check.,無法過帳,2025/11/1 下午 01:47:38
ASEF3,K11,8F,3800,T32,自動化設備相關,"T32夾抓過壓 
貨一直退平台二 外觀看起來沒問題",卡盒卡盤,2025/11/1 下午 12:27:18
ASEF3,K11,8F,3450,ALL,自動化設備相關,NG,機台異常,2025/11/1 下午 12:15:45
ASEF3,K25,8F,3260,ALL,自動化設備相關,alarm,機台異常,2025/11/1 上午 11:50:41
ASEF1,K21,5F,2845,T04,自動化設備相關,連線斷線，請協助重連,默停,2025/11/1 上午 11:49:38
ASEF1,K21,8F,2500,ALL,自動化設備相關,"A LINE NG
流道異常",機台異常,2025/11/1 上午 11:22:47
ASEF3,K11,8F,3670,809,自動化設備相關,NG,機台異常,2025/11/1 上午 11:09:45
ASEF3,K25,8F,3670,ALL,自動化設備相關,alarm,機台異常,2025/11/1 上午 10:32:47
ASEF3,K11,8F,4110,ALL,自動化設備相關,"(M7139)入料龍門夾爪動作逾時
(M7103)入料龍門過壓(X380)
(M7102)入料龍門Z軸極限遮蔽",卡盒卡盤,2025/11/1 上午 10:32:35
ASEF3,K25,8F,3260,ALL,自動化設備相關,NG,機台異常,2025/11/1 上午 10:29:51
ASEF3,K11,8F,3910,819,過帳相關,"無法MOVE IN
請重開EAP",無法過帳,2025/11/1 上午 10:17:15
ASEF1,K21,8F,2500,ALL,自動化設備相關,B區異常,機台異常,2025/11/1 上午 10:07:34
ASEF3,K11,8F,3910,807,過帳相關,"please delate data 2d thank you 
40LMNQB023",異常退盒,2025/11/1 上午 09:56:46
ASEF3,K25,8F,3260,ALL,自動化設備相關,alarm,機台異常,2025/11/1 上午 09:46:31
ASEF3,K11,8F,3670,809,自動化設備相關,alarm,機台異常,2025/11/1 上午 09:44:55
ASEF1,K21,8F,2500,ALL,自動化設備相關,A區異常,默停,2025/11/1 上午 09:14:33
ASEF3,K25,8F,4110,ALL,自動化設備相關,NG,機台異常,2025/11/1 上午 09:10:02
ASEF3,K25,8F,4110,ALL,自動化設備相關,alarm,機台異常,2025/11/1 上午 08:37:22
ASEF3,K25,8F,4110,ALL,自動化設備相關,na,機台異常,2025/11/1 上午 08:29:45
ASEF1,K21,8F,2715,A03,自動化設備相關,2715 A03 NG,機台異常,2025/11/1 上午 08:20:45
ASEF3,K11,9F,4730,817,關閉比對,4730-817     MTK程式無建檔  AI PROFILE  ，需求關閉比對(待工程師新增)，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2025/11/1 上午 07:59:38
