Factory,Building,Floor,Oper_No,Machine_ID,Description,DT,Trouble_Item,Trouble_Status
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 00:06",卡盒卡盤,自動化設備相關
ASEF3,K11,8F,4110,ALL,,"2025-9-8, 00:50",機台異常,自動化設備相關
ASEF3,K25,8F,3450,ALL,,"2025-9-8, 00:56",默停,自動化設備相關
ASEF3,K11,8F,3910,810,"3910-810 讀取2D後，發生系統回傳比對timeout，導致該條未正印
請幫忙清除該條產品打印紀錄
批號為 5-36O8E8B002-001","2025-9-8, 01:01",連線異常,過帳相關
ASEF3,K11,8F,3450,ALL,機故頻繁,"2025-9-8, 01:10",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 01:27",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,2900,807H,,"2025-9-8, 01:54",機台異常,自動化設備相關
ASEF3,K25,8F,3450,ALL,,"2025-9-8, 02:04",默停,自動化設備相關
ASEF3,K11,8F,3450,ALL,"上下層流道皮帶斷裂,請協助修復","2025-9-8, 02:38",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 02:44",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3450,ALL,,"2025-9-8, 02:56",默停,自動化設備相關
ASEF3,K25,8F,2890,803,,"2025-9-8, 03:16",偵測檢知異常,自動化設備相關
ASEF3,K25,8F,2890,801,,"2025-9-8, 04:40",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,2890,801,,"2025-9-8, 04:47",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 06:24",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,2900,812H,TrackOut 失敗(Fail):批號:352K4XB001 WAFERID蒐集站點請輸入WAFERID.(MUST KEY IN WAFERID),"2025-9-8, 06:39",異常退盒,過帳相關
ASEF3,K11,8F,3260,ALL,,"2025-9-8, 06:57",機台異常,自動化設備相關
ASEF3,K11,8F,4110,ALL,,"2025-9-8, 06:57",機台異常,自動化設備相關
ASEF1,K21,5F,3910,C01S,"Hello CIM：
3910-C01S 
請協助消除此條批號之作業紀錄，批號為 5-36IEVA-002-005，謝謝。","2025-9-8, 07:21",無法過帳,過帳相關
ASEF3,K25,8F,4110,ALL,na,"2025-9-8, 07:34",機台異常,自動化設備相關
ASEF3,K25,8F,3670,E05,NA,"2025-9-8, 07:57",默停,自動化設備相關
ASEF3,K25,8F,2900,813F,,"2025-9-8, 07:58",機台異常,自動化設備相關
ASEF1,K22,9F,4805,B60,,"2025-9-8, 07:58",關整台,關閉比對
ASEF3,K11,9F,4515,651,4515#651 需過帳4554站點，請協助關閉防漏洗功能,"2025-9-8, 08:02",關整台,關閉比對
ASEF3,K11,9F,4730,816,4730#816 無安裝 AI PROFILE，系統有卡 EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-8, 08:02",關整台,關閉比對
ASEF3,K11,9F,4800,815,4800#815 產線清洗機電腦無法連線~再煩請CIM人員協助關閉比對~~謝謝,"2025-9-8, 08:02",關整台,關閉比對
ASEF3,K11,9F,4730,801,4730#801 無安裝 AI PROFILE，系統有卡 EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-8, 08:03",關整台,關閉比對
ASEF3,K11,8F,4730,814,4730#814 過帳電腦故障，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-8, 08:03",關整台,關閉比對
ASEF3,K11,7F,4730,821,4730#821  346L   AI PROFILE 25SJ 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-8, 08:03",關整台,關閉比對
ASEF3,K11,7F,4730,803,4730#803 264(MM1X)   AI PROFILE   比對異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-8, 08:04",關整台,關閉比對
